,time,z_minus,z_plus
50,10.0,1315953.0,13340.0
50,10.0,1315953.0,13340.0
50,10.0,14972634.0,144079.0
50,10.0,464366.0,4420.0
50,10.0,2254872.0,22075.0
50,10.0,5069611.0,48176.0
50,10.0,2167649.0,21755.0
50,10.0,1554108.0,14724.0
50,10.0,293806.0,2666.0
50,10.0,5039592.0,47470.0
50,10.0,2405036.0,25106.0
50,10.0,5653434.0,56850.0
50,10.0,6247440.0,59954.0
50,10.0,3725180.0,37525.0
50,10.0,5283067.0,48816.0
50,10.0,1565155.0,16045.0
50,10.0,3329643.0,29806.0
50,10.0,1028139.0,12834.0
50,10.0,1032428.0,10692.0
50,10.0,875408.0,7878.0
50,10.0,8803342.0,83358.0
50,10.0,920175.0,8898.0
50,10.0,607783.0,6398.0
50,10.0,1613470.0,15390.0
50,10.0,5756052.0,58494.0
50,10.0,1800780.0,16351.0
50,10.0,1115999.0,10838.0
50,10.0,614319.0,5749.0
50,10.0,453453.0,4300.0
50,10.0,1194610.0,10853.0
50,10.0,100922.0,1372.0
50,10.0,1731712.0,15880.0
50,10.0,3114693.0,29836.0
50,10.0,2807697.0,27746.0
50,10.0,1978243.0,18834.0
50,10.0,169175.0,1527.0
50,10.0,7361914.0,85557.0
50,10.0,491057.0,4905.0
50,10.0,1327529.0,15937.0
50,10.0,349665.0,4077.0
50,10.0,1467489.0,14508.0
50,10.0,2531915.0,24379.0
50,10.0,667864.0,6812.0
50,10.0,3085862.0,28846.0
50,10.0,1691553.0,15343.0
50,10.0,7313288.0,82246.0
50,10.0,2490651.0,23920.0
50,10.0,6861577.0,63725.0
50,10.0,6441186.0,66939.0
50,10.0,522262.0,5865.0
50,10.0,661389.0,9005.0
50,10.0,7382882.0,70488.0
50,10.0,1960348.0,19306.0
50,10.0,4189652.0,40750.0
50,10.0,4507101.0,41314.0
50,10.0,3017283.0,29525.0
50,10.0,2721998.0,28359.0
50,10.0,897332.0,8475.0
50,10.0,5327483.0,59946.0
50,10.0,59504.0,783.0
50,10.0,6586237.0,61631.0
50,10.0,372570.0,3540.0
50,10.0,564773.0,4950.0
50,10.0,5060969.0,46987.0
50,10.0,3972117.0,38525.0
50,10.0,1390028.0,14551.0
50,10.0,466510.0,4242.0
50,10.0,135838.0,1745.0
50,10.0,8945637.0,91636.0
50,10.0,1661668.0,16333.0
50,10.0,1514385.0,14476.0
50,10.0,3724137.0,36079.0
50,10.0,1344940.0,12567.0
50,10.0,2712127.0,26610.0
50,10.0,2553239.0,35786.0
50,10.0,741561.0,6930.0
50,10.0,1709507.0,15462.0
50,10.0,2743791.0,25616.0
50,10.0,1419162.0,13968.0
50,10.0,353210.0,2924.0
50,10.0,1000779.0,11024.0
50,10.0,2097921.0,19241.0
50,10.0,1782731.0,18247.0
50,10.0,2485857.0,25633.0
50,10.0,3667400.0,34593.0
50,10.0,560.0,12.0
50,10.0,466941.0,6232.0
50,10.0,693124.0,6656.0
50,10.0,22553.0,217.0
50,10.0,82868.0,975.0
50,10.0,150833.0,1514.0
50,10.0,1400824.0,31715.0
50,10.0,7808748.0,73643.0
50,10.0,7302863.0,68793.0
50,10.0,3107160.0,32077.0
50,10.0,6667387.0,73258.0
50,10.0,1268804.0,12777.0
50,10.0,1784264.0,17356.0
50,10.0,486194.0,4210.0
50,10.0,9619521.0,91694.0
50,10.0,3552652.0,41900.0
50,10.0,2785161.0,26829.0
50,10.0,112301.0,872.0
50,10.0,5113252.0,50256.0
50,10.0,7959729.0,79987.0
50,10.0,2355671.0,23863.0
50,10.0,956699.0,8627.0
