z,P
150.,0.00031743943908766036
300.,0.0003011734365510066
450.,0.0002858477282109129
600.,0.0002713646528200515
750.,0.00025766140071472595
900.,0.0002446873500766269
1050.,0.0002323983208912315
1200.,0.0002207544049611432
1350.,0.00020971893098922507
1500.,0.00019925788271576945
1650.,0.00018933952822681609
1800.,0.00017993415981855905
1950.,0.00017101389739152033
2100.,0.00016255253131582386
2250.,0.00015452539152326216
2400.,0.00014690923507198092
2550.,0.00013968214739515394
2700.,0.00013282345413311234
2850.,0.0001263136414537265
3000.,0.00012013428338889212
3150.,0.00011426797511507406
3300.,0.00010869827137124947
3450.,0.00010340962938893909
3600.,0.00009838735583647036
3750.,0.0000936175573714743
3900.,0.00008908709446357394
4050.,0.0000847835382005806
4200.,0.00008069512983126831
4350.,0.00007681074282913499
4500.,0.00007311984728679695
4650.,0.00006961247647131224
4800.,0.00006627919538792557
4950.,0.00006311107121423052
5100.,0.00006009964547917209
5250.,0.00005723690787205407
5400.,0.000054515271576132096
5550.,0.000051927550029665876
5700.,0.00004946693502468604
5850.,0.000047126976060376806
6000.,0.00004490156087391468
6150.,0.00004278489707702978
6300.,0.0000407714948314876
6450.,0.00003885615050117774
6600.,0.000037033931222635654
6750.,0.00003530016033962935
6900.,0.00003365040365093968
7050.,0.00003208045642370738
7200.,0.0000305863311277306
7350.,0.000029164245848873805
7500.,0.000027810613342348135
7650.,0.000026522030689028597
7800.,0.000025295269520223777
7950.,0.000024127266778410514
8100.,0.00002301511598339943
8250.,0.000021956058975230787
8400.,0.000020947478106807316
8550.,0.000019986888860872023
8700.,0.00001907193286744324
8850.,0.000018200371299211963
9000.,0.00001737007862373933
9150.,0.00001657903669251343
9300.,0.000015825329148090387
9450.,0.000015107136131631671
9600.,0.000014422729274170788
9750.,0.00001377046695590021
9900.,0.000013148789818673534
10050.,0.00001255621651776576
10200.,0.000011991339699727573
10350.,0.000011452822193922635
10500.,0.000010939393406041416
10650.,0.000010449845902543911
10800.,9.983032175616295e-6
10950.,9.537861578802428e-6
11100.,9.11329742403654e-6
11250.,8.708354231314434e-6
11400.,8.322095122736132e-6
11550.,7.95362935311414e-6
11700.,7.602109969774925e-6
11850.,7.266731594595485e-6
12000.,6.946728321697431e-6
12150.,6.641371724591981e-6
12300.,6.349968966907917e-6
12450.,6.071861011160746e-6
12600.,5.806420920326151e-6
12750.,5.55305224726904e-6
12900.,5.311187507351127e-6
13050.,5.080286729796693e-6
13200.,4.859836083636684e-6
13350.,4.649346574282002e-6
13500.,4.448352806989393e-6
13650.,4.256411813688749e-6
13800.,4.073101939831528e-6
13950.,3.898021788101311e-6
14100.,3.7307892159987292e-6
14250.,3.5710403844739587e-6
14400.,3.4184288549334295e-6
14550.,3.272624732090564e-6
14700.,3.133313850266838e-6
14850.,3.0001970008777415e-6
15000.,2.8729891989601464e-6
15150.,2.7514189867117877e-6
15300.,2.635227772122145e-6
15450.,2.524169200876552e-6
15600.,2.418008559812331e-6
15750.,2.3165222102970338e-6
15900.,2.219497049985347e-6
16050.,2.1267300014934918e-6
16200.,2.0380275266068495e-6
16350.,1.9532051647098135e-6
16500.,1.8720870941961635e-6
16650.,1.7945057156836448e-6
16800.,1.7203012559180688e-6
16950.,1.6493213913112298e-6
