z,P
150.,0.0003181485417131656
300.,0.0003019974299827433
450.,0.0002867172402048309
600.,0.0002722462349877809
750.,0.0002585354551086913
900.,0.00024554141542355336
1050.,0.00023322418644292328
1200.,0.0002215466187013692
1350.,0.0002104739332089928
1500.,0.00019997346072266872
1650.,0.00019001445259823213
1800.,0.00018056793094541545
1950.,0.0001716065628746182
2100.,0.00016310455094830335
2250.,0.00015503753540567185
2400.,0.00014738250548980842
2550.,0.00014011771816274405
2700.,0.00013322262304285847
2850.,0.000126677792729855
3000.,0.00012046485789103748
3150.,0.00011456644661952899
3300.,0.00010896612766845087
3450.,0.00010364835723119303
3600.,0.00009859842898631936
3750.,0.00009380242716225466
3900.,0.0000892471824054479
4050.,0.00008492023025853154
4200.,0.00008080977207373487
4350.,0.00007690463820250645
4500.,0.00007319425331569485
4650.,0.00006966860372023708
4800.,0.00006631820654852654
4950.,0.00006313408070569076
5100.,0.00006010771946810843
5250.,0.00005723106463390001
5400.,0.00005449648213273405
5550.,0.00005189673900845824
5700.,0.0000494249816936314
5850.,0.00004707471550022228
6000.,0.00004483978525550784
6150.,0.00004271435701662892
6300.,0.00004069290080138181
6450.,0.00003877017427664045
6600.,0.00003694120734936588
6750.,0.00003520128760849632
6900.,0.0000335459465691059
7050.,0.00003197094667312366
7200.,0.000030472269003632543
7350.,0.00002904610167229662
7500.,0.000027688828841863442
7650.,0.000026397020347909276
7800.,0.00002516742188610317
7950.,0.000023996945733226014
8100.,0.00002288266197202733
8250.,0.000021821790191741453
8400.,0.00002081169163770821
8550.,0.000019849861785077753
8700.,0.000018933923313017893
8850.,0.000018061619457192378
9000.,0.000017230807719556515
9150.,0.00001643945391570633
9300.,0.000015685626541149217
9450.,0.000014967491438921425
9600.,0.000014283306751974521
9750.,0.000013631418144691849
9900.,0.000013010254278782813
10050.,0.00001241832252962984
10200.,0.000011854204929951459
10350.,0.000011316554328381658
10500.,0.000010804090751260322
10650.,0.000010315597956585804
10800.,9.84992016970055e-6
10950.,9.405958990857039e-6
11100.,8.98267046536649e-6
11250.,8.57906230754577e-6
11400.,8.194191270166758e-6
11550.,7.827160651572052e-6
11700.,7.477117933055533e-6
11850.,7.14325253951341e-6
12000.,6.8247937167577895e-6
12150.,6.521008519250108e-6
12300.,6.2311999023520434e-6
12450.,5.954704913518496e-6
12600.,5.6908929771601615e-6
12750.,5.439164268193804e-6
12900.,5.1989481695688724e-6
13050.,4.969701809317305e-6
13200.,4.750908672914782e-6
13350.,4.542077286971313e-6
13500.,4.342739970485585e-6
13650.,4.152451650100367e-6
13800.,3.970788735990543e-6
13950.,3.7973480551964113e-6
14100.,3.6317458393871193e-6
14250.,3.47361676420189e-6
14400.,3.3226130374694887e-6
14550.,3.178403533752221e-6
14700.,3.040672972796955e-6
14850.,2.90912113960557e-6
15000.,2.7834621439595732e-6
15150.,2.6634237173490235e-6
15300.,2.5487465453654723e-6
15450.,2.4391836337216756e-6
15600.,2.3344997061588427e-6
15750.,2.2344706325940934e-6
15900.,2.1388828859485435e-6
16050.,2.0475330261787774e-6
16200.,1.9602272101125784e-6
16350.,1.8767807257635727e-6
16500.,1.7970175498695794e-6
16650.,1.7207699274650583e-6
16800.,1.647877972361135e-6
16950.,1.578189287465183e-6
17100.,1.5115586039285219e-6
17250.,1.4478474381632896e-6
17400.,1.386923765819752e-6
17550.,1.3286617118629423e-6
17700.,1.272941255932157e-6
17850.,1.2196479522094192e-6
18000.,1.1686726630632289e-6
18150.,1.1199113057719328e-6
18300.,1.07326461166733e-6
18450.,1.0286378970727888e-6
18600.,9.859408454430654e-7
18750.,9.450873001430713e-7
18900.,9.059950673322092e-7
19050.,8.685857284481461e-7
19200.,8.327844618099715e-7
19350.,7.985198728853529e-7
19500.,7.6572383278952e-7
19650.,7.343313246061912e-7
19800.,7.042802971413466e-7
19950.,6.755115257407106e-7
20100.,6.47968479820616e-7
20250.,6.215971967796486e-7
20400.,5.963461619755389e-7
20550.,5.721661944676459e-7
20700.,5.490103382405841e-7
20850.,5.268337586391003e-7
21000.,5.055936437576765e-7
21150.,4.852491105415224e-7
21300.,4.6576111536779704e-7
21450.,4.47092368887519e-7
21600.,4.292072549196664e-7
21750.,4.120717531995006e-7
21900.,3.956533657929961e-7
22050.,3.799210469987404e-7
22200.,3.648451365674958e-7
22350.,3.503972960782771e-7
22500.,3.3655044831765823e-7
22650.,3.232787195167358e-7
22800.,3.105573843074346e-7
22950.,2.9836281326665976e-7
23100.,2.86672422923376e-7
23250.,2.7546462810982773e-7
23400.,2.647187965440414e-7
23550.,2.5441520553631235e-7
23700.,2.4453500071764285e-7
23850.,2.3506015669318058e-7
24000.,2.2597343952842422e-7
24150.,2.172583709805529e-7
24300.,2.0889919439146804e-7
24450.,2.008808421632931e-7
24600.,1.931889047409317e-7
24750.,1.858096010299417e-7
24900.,1.7872975018153852e-7
150.,0.0003181485417131656
300.,0.0003019974299827433
450.,0.0002867172402048309
600.,0.0002722462349877809
750.,0.0002585354551086913
900.,0.00024554141542355336
1050.,0.00023322418644292328
1200.,0.0002215466187013692
1350.,0.0002104739332089928
1500.,0.00019997346072266872
1650.,0.00019001445259823213
1800.,0.00018056793094541545
1950.,0.0001716065628746182
2100.,0.00016310455094830335
2250.,0.00015503753540567185
2400.,0.00014738250548980842
2550.,0.00014011771816274405
2700.,0.00013322262304285847
2850.,0.000126677792729855
3000.,0.00012046485789103748
3150.,0.00011456644661952899
3300.,0.00010896612766845087
3450.,0.00010364835723119303
3600.,0.00009859842898631936
3750.,0.00009380242716225466
3900.,0.0000892471824054479
4050.,0.00008492023025853154
4200.,0.00008080977207373487
4350.,0.00007690463820250645
4500.,0.00007319425331569485
4650.,0.00006966860372023708
4800.,0.00006631820654852654
4950.,0.00006313408070569076
5100.,0.00006010771946810843
5250.,0.00005723106463390001
5400.,0.00005449648213273405
5550.,0.00005189673900845824
5700.,0.0000494249816936314
5850.,0.00004707471550022228
6000.,0.00004483978525550784
6150.,0.00004271435701662892
6300.,0.00004069290080138181
6450.,0.00003877017427664045
6600.,0.00003694120734936588
6750.,0.00003520128760849632
6900.,0.0000335459465691059
7050.,0.00003197094667312366
7200.,0.000030472269003632543
7350.,0.00002904610167229662
7500.,0.000027688828841863442
7650.,0.000026397020347909276
7800.,0.00002516742188610317
7950.,0.000023996945733226014
8100.,0.00002288266197202733
8250.,0.000021821790191741453
8400.,0.00002081169163770821
8550.,0.000019849861785077753
8700.,0.000018933923313017893
8850.,0.000018061619457192378
9000.,0.000017230807719556515
9150.,0.00001643945391570633
9300.,0.000015685626541149217
9450.,0.000014967491438921425
9600.,0.000014283306751974521
9750.,0.000013631418144691849
9900.,0.000013010254278782813
10050.,0.00001241832252962984
10200.,0.000011854204929951459
10350.,0.000011316554328381658
10500.,0.000010804090751260322
10650.,0.000010315597956585804
10800.,9.84992016970055e-6
10950.,9.405958990857039e-6
11100.,8.98267046536649e-6
11250.,8.57906230754577e-6
11400.,8.194191270166758e-6
11550.,7.827160651572052e-6
11700.,7.477117933055533e-6
11850.,7.14325253951341e-6
12000.,6.8247937167577895e-6
12150.,6.521008519250108e-6
12300.,6.2311999023520434e-6
12450.,5.954704913518496e-6
12600.,5.6908929771601615e-6
12750.,5.439164268193804e-6
12900.,5.1989481695688724e-6
13050.,4.969701809317305e-6
13200.,4.750908672914782e-6
13350.,4.542077286971313e-6
13500.,4.342739970485585e-6
13650.,4.152451650100367e-6
13800.,3.970788735990543e-6
13950.,3.7973480551964113e-6
14100.,3.6317458393871193e-6
14250.,3.47361676420189e-6
14400.,3.3226130374694887e-6
14550.,3.178403533752221e-6
14700.,3.040672972796955e-6
14850.,2.90912113960557e-6
15000.,2.7834621439595732e-6
15150.,2.6634237173490235e-6
15300.,2.5487465453654723e-6
15450.,2.4391836337216756e-6
15600.,2.3344997061588427e-6
15750.,2.2344706325940934e-6
15900.,2.1388828859485435e-6
16050.,2.0475330261787774e-6
16200.,1.9602272101125784e-6
16350.,1.8767807257635727e-6
16500.,1.7970175498695794e-6
16650.,1.7207699274650583e-6
16800.,1.647877972361135e-6
16950.,1.578189287465183e-6
17100.,1.5115586039285219e-6
17250.,1.4478474381632896e-6
17400.,1.386923765819752e-6
17550.,1.3286617118629423e-6
17700.,1.272941255932157e-6
17850.,1.2196479522094192e-6
18000.,1.1686726630632289e-6
18150.,1.1199113057719328e-6
18300.,1.07326461166733e-6
18450.,1.0286378970727888e-6
18600.,9.859408454430654e-7
18750.,9.450873001430713e-7
18900.,9.059950673322092e-7
19050.,8.685857284481461e-7
19200.,8.327844618099715e-7
19350.,7.985198728853529e-7
19500.,7.6572383278952e-7
19650.,7.343313246061912e-7
19800.,7.042802971413466e-7
19950.,6.755115257407106e-7
20100.,6.47968479820616e-7
20250.,6.215971967796486e-7
20400.,5.963461619755389e-7
20550.,5.721661944676459e-7
20700.,5.490103382405841e-7
20850.,5.268337586391003e-7
21000.,5.055936437576765e-7
21150.,4.852491105415224e-7
21300.,4.6576111536779704e-7
21450.,4.47092368887519e-7
21600.,4.292072549196664e-7
21750.,4.120717531995006e-7
21900.,3.956533657929961e-7
22050.,3.799210469987404e-7
22200.,3.648451365674958e-7
22350.,3.503972960782771e-7
22500.,3.3655044831765823e-7
22650.,3.232787195167358e-7
22800.,3.105573843074346e-7
22950.,2.9836281326665976e-7
23100.,2.86672422923376e-7
23250.,2.7546462810982773e-7
23400.,2.647187965440414e-7
23550.,2.5441520553631235e-7
23700.,2.4453500071764285e-7
23850.,2.3506015669318058e-7
24000.,2.2597343952842422e-7
24150.,2.172583709805529e-7
24300.,2.0889919439146804e-7
24450.,2.008808421632931e-7
24600.,1.931889047409317e-7
24750.,1.858096010299417e-7
24900.,1.7872975018153852e-7
