,time,z_minus,z_plus
0,0.0,1000.0,100.0
1,0.1,1163.55,113.55
2,0.2,1349.45,128.65
3,0.3,1569.55,145.0
4,0.4,1824.3,164.9
5,0.5,2114.4,186.2
6,0.6,2463.2,210.65
7,0.7,2866.8,238.6
8,0.8,3335.65,268.65
9,0.9,3871.05,304.7
10,1.0,4502.15,348.05
11,1.1,5238.65,393.95
12,1.2,6073.5,445.4
13,1.3,7061.6,503.85
14,1.4,8207.1,575.45
15,1.5,9542.05,655.6
16,1.6,11081.5,747.9
17,1.7,12865.4,853.55
18,1.8,14947.35,971.85
19,1.9,17375.55,1108.0
20,2.0,20200.5,1258.7
21,2.1,23473.95,1425.45
22,2.2,27265.8,1621.65
23,2.3,31682.85,1842.55
24,2.4,36825.2,2088.8
25,2.5,42790.05,2374.2
26,2.6,49716.7,2696.75
27,2.7,57794.6,3059.2
28,2.8,67164.65,3485.85
29,2.9,78067.9,3967.5
30,3.0,90690.35,4515.3
31,3.1,105396.9,5140.45
32,3.2,122426.75,5853.45
33,3.3,142297.35,6662.2
34,3.4,165315.45,7580.85
35,3.5,192122.8,8638.3
36,3.6,223269.5,9849.3
37,3.7,259397.75,11217.6
38,3.8,301431.85,12815.2
39,3.9,350221.25,14616.65
40,4.0,406887.0,16688.35
41,4.1,472839.65,19045.65
42,4.2,549338.95,21742.1
43,4.3,638290.95,24834.15
44,4.4,741546.95,28355.1
45,4.5,861569.2,32398.4
46,4.6,1000981.9,37010.75
47,4.7,1163028.75,42306.35
48,4.8,1351341.9,48378.85
49,4.9,1570056.05,55302.35
50,5.0,1824446.35,63247.25
