,time,z_minus,z_plus
0,0.0,1000.0,100.0
1,0.1,1187.0,122.0
2,0.2,1368.0,143.0
3,0.3,1577.0,166.0
4,0.4,1820.0,186.0
5,0.5,2109.0,216.0
6,0.6,2470.0,248.0
7,0.7,2890.0,281.0
8,0.8,3326.0,319.0
9,0.9,3867.0,371.0
10,1.0,4520.0,425.0
11,1.1,5259.0,502.0
12,1.2,6150.0,594.0
13,1.3,7148.0,693.0
14,1.4,8282.0,792.0
15,1.5,9630.0,920.0
16,1.6,11086.0,1034.0
17,1.7,12851.0,1216.0
18,1.8,14926.0,1383.0
19,1.9,17317.0,1597.0
20,2.0,20258.0,1839.0
21,2.1,23531.0,2126.0
22,2.2,27328.0,2433.0
23,2.3,31753.0,2768.0
24,2.4,36876.0,3205.0
25,2.5,42662.0,3678.0
26,2.6,49695.0,4199.0
27,2.7,57741.0,4828.0
28,2.8,67141.0,5495.0
29,2.9,77932.0,6347.0
30,3.0,90640.0,7309.0
31,3.1,105464.0,8448.0
32,3.2,122469.0,9711.0
33,3.3,142490.0,11129.0
34,3.4,165149.0,12698.0
35,3.5,192128.0,14524.0
36,3.6,223261.0,16629.0
37,3.7,259225.0,19096.0
38,3.8,301228.0,21926.0
39,3.9,349248.0,25320.0
40,4.0,405636.0,29055.0
41,4.1,471535.0,33559.0
42,4.2,548466.0,38546.0
43,4.3,637881.0,44402.0
44,4.4,741362.0,51073.0
45,4.5,861031.0,58920.0
46,4.6,999616.0,67925.0
47,4.7,1160915.0,78307.0
48,4.8,1349761.0,90464.0
49,4.9,1568372.0,104422.0
50,5.0,1821879.0,120424.0
