,time,z_minus,z_plus
0,0.0,1000.0,100.0
1,0.1,1123.0,112.0
2,0.2,1271.0,136.0
3,0.3,1409.0,165.0
4,0.4,1566.0,193.0
5,0.5,1766.0,226.0
6,0.6,2000.0,270.0
7,0.7,2272.0,311.0
8,0.8,2552.0,371.0
9,0.9,2848.0,434.0
10,1.0,3206.0,511.0
11,1.1,3619.0,597.0
12,1.2,4083.0,667.0
13,1.3,4557.0,758.0
14,1.4,5116.0,883.0
15,1.5,5787.0,1031.0
16,1.6,6459.0,1204.0
17,1.7,7301.0,1390.0
18,1.8,8206.0,1605.0
19,1.9,9253.0,1867.0
20,2.0,10415.0,2151.0
21,2.1,11809.0,2566.0
22,2.2,13265.0,2943.0
23,2.3,15001.0,3423.0
24,2.4,16888.0,3993.0
25,2.5,18995.0,4693.0
26,2.6,21310.0,5421.0
27,2.7,23955.0,6317.0
28,2.8,27014.0,7435.0
29,2.9,30483.0,8657.0
30,3.0,34309.0,10056.0
31,3.1,38566.0,11715.0
32,3.2,43444.0,13636.0
33,3.3,49079.0,15920.0
34,3.4,55368.0,18504.0
35,3.5,62405.0,21478.0
36,3.6,70310.0,24977.0
37,3.7,79283.0,29109.0
38,3.8,89493.0,33825.0
39,3.9,101016.0,39353.0
40,4.0,113822.0,45735.0
41,4.1,128261.0,52991.0
42,4.2,144898.0,61599.0
43,4.3,163406.0,71671.0
44,4.4,184287.0,83492.0
45,4.5,207654.0,96977.0
46,4.6,234159.0,112898.0
47,4.7,264203.0,131196.0
48,4.8,297897.0,152700.0
49,4.9,336516.0,177454.0
50,5.0,379849.0,206292.0
51,5.1,428776.0,240150.0
52,5.2,483842.0,278982.0
53,5.3,546156.0,323958.0
54,5.4,616313.0,376288.0
55,5.5,695535.0,437678.0
56,5.6,784380.0,508847.0
57,5.7,885219.0,591047.0
58,5.8,999114.0,686415.0
59,5.9,1127057.0,797536.0
60,6.0,1271326.0,926666.0
61,6.1,1434250.0,1077258.0
62,6.2,1619596.0,1251876.0
63,6.3,1828424.0,1453790.0
64,6.4,2062707.0,1688552.0
65,6.5,2327569.0,1961794.0
66,6.6,2626459.0,2278621.0
67,6.7,2963449.0,2648002.0
68,6.8,3343333.0,3076727.0
69,6.9,3771922.0,3573174.0
70,7.0,4256704.0,4151365.0
71,7.1,4802821.0,4824551.0
72,7.2,5421630.0,5606192.0
73,7.3,6119948.0,6515577.0
74,7.4,6908175.0,7570939.0
75,7.5,7799736.0,8798570.0
76,7.6,8804227.0,10224178.0
77,7.7,9938025.0,11881092.0
78,7.8,11220951.0,13805723.0
79,7.9,12666678.0,16038860.0
80,8.0,14298481.0,18638795.0
