,time,z_minus,z_plus
0,0.0,1000.0,100.0
1,0.1,1124.7333333333333,116.53333333333333
2,0.2,1263.6666666666667,135.93333333333334
3,0.3,1425.8666666666666,158.06666666666666
4,0.4,1606.3333333333333,185.33333333333334
5,0.5,1803.8,216.33333333333334
6,0.6,2033.0,253.06666666666666
7,0.7,2297.9333333333334,293.6
8,0.8,2585.8,341.6
9,0.9,2918.6666666666665,399.0
10,1.0,3288.866666666667,463.8666666666667
11,1.1,3704.133333333333,538.0
12,1.2,4181.333333333333,625.4666666666667
13,1.3,4720.4,733.2
14,1.4,5331.466666666666,849.2
15,1.5,6018.8,988.4666666666667
16,1.6,6768.333333333333,1148.3333333333333
17,1.7,7625.733333333334,1336.2666666666667
18,1.8,8580.333333333334,1553.6
19,1.9,9685.2,1808.1333333333334
20,2.0,10921.066666666668,2097.2
21,2.1,12311.066666666668,2444.4
22,2.2,13880.4,2842.8
23,2.3,15649.133333333333,3307.3333333333335
24,2.4,17665.4,3847.5333333333333
25,2.5,19911.4,4479.533333333334
26,2.6,22446.533333333333,5213.8
27,2.7,25320.0,6047.866666666667
28,2.8,28555.333333333332,7032.533333333334
29,2.9,32207.6,8182.733333333334
30,3.0,36286.86666666667,9524.6
31,3.1,40938.26666666667,11074.466666666667
32,3.2,46157.4,12865.066666666668
33,3.3,52051.066666666666,14953.533333333333
34,3.4,58709.4,17371.866666666665
35,3.5,66208.66666666667,20167.733333333334
36,3.6,74673.13333333333,23432.6
37,3.7,84190.53333333334,27244.933333333334
38,3.8,94933.13333333333,31643.066666666666
39,3.9,107073.2,36736.8
40,4.0,120732.86666666667,42675.933333333334
41,4.1,136148.2,49608.26666666667
42,4.2,153581.6,57670.73333333333
43,4.3,173204.66666666666,67006.2
44,4.4,195363.93333333332,77892.93333333333
45,4.5,220368.06666666668,90447.06666666667
46,4.6,248551.46666666667,105168.86666666667
47,4.7,280393.6,122208.33333333333
48,4.8,316328.73333333334,142001.73333333334
49,4.9,356860.3333333333,165015.6
50,5.0,402573.06666666665,191729.6
51,5.1,454141.5333333333,222897.2
52,5.2,512417.2,259038.73333333334
53,5.3,578057.0666666667,301006.3333333333
54,5.4,652131.8,349790.26666666666
55,5.5,735741.6,406558.5333333333
56,5.6,829905.4666666667,472477.06666666665
57,5.7,936200.8666666667,548958.0
58,5.8,1056160.3333333333,637874.2
59,5.9,1191463.5333333334,741056.5333333333
60,6.0,1344255.8,860945.5333333333
61,6.1,1516544.8666666667,1000594.6
62,6.2,1711207.2,1162736.0
63,6.3,1930731.2666666666,1351297.9333333333
64,6.4,2178357.533333333,1570168.7333333334
65,6.5,2457754.7333333334,1824402.9333333333
66,6.6,2773387.066666667,2119968.533333333
67,6.7,3129473.8666666667,2463026.2666666666
68,6.8,3531267.3333333335,2862251.933333333
69,6.9,3984822.066666667,3325773.2666666666
70,7.0,4496775.066666666,3864621.3333333335
71,7.1,5074636.2,4490653.4
72,7.2,5726773.333333333,5217933.333333333
73,7.3,6463059.2,6063267.666666667
74,7.4,7293954.6,7045854.666666667
75,7.5,8232220.933333334,8186541.733333333
76,7.6,9291184.4,9511939.4
77,7.7,10486218.6,11052310.733333332
78,7.8,11835976.266666668,12842264.066666666
79,7.9,13359677.266666668,14921891.8
80,8.0,15080240.466666667,17338165.733333334
