z,P
150.,0.0003177674935402095
300.,0.0003015545461241942
450.,0.00028624982475078403
600.,0.00027177228262864373
750.,0.00025806551346553396
900.,0.0002450821937855662
1050.,0.00023278010740526427
1200.,0.00022112062032764125
1350.,0.0002100679350115457
1500.,0.00019958865698725128
1650.,0.00018965150808991638
1800.,0.00018022711730161987
1950.,0.00017128785688911397
2100.,0.0001628077072566684
2250.,0.000154762141344658
2400.,0.00014712802317004602
2550.,0.0001398835171412662
2700.,0.00013300800594142777
2850.,0.00012648201546725782
3000.,0.00012028714574257378
3150.,0.00011440600700351305
3300.,0.00010882216033861937
3450.,0.00010352006239500145
3600.,0.00009848501375265355
3750.,0.0000937031106353929
3900.,0.00008916119967659361
4050.,0.0000848468354960714
4200.,0.00008074824087453006
4350.,0.0000768542693360797
4500.,0.00007315436996910698
4650.,0.00006963855433225527
4800.,0.00006629736530624353
4950.,0.00006312184776423175
5100.,0.000060103520943887444
5250.,0.000057234352413499886
5400.,0.0000545067335326014
5550.,0.000051913456314883695
5700.,0.000049447691607723446
5850.,0.00004710296850862215
6000.,0.00004487315494424506
6150.,0.00004275243934272932
6300.,0.00004073531333446672
6450.,0.00003881655542076695
6600.,0.00003699121555366139
6750.,0.0000352546005737105
6900.,0.000033602260455978685
7050.,0.000032029975317441435
7200.,0.00003053374314195124
7350.,0.000029109768181572604
7500.,0.00002775444999558281
7650.,0.000026464373090770934
7800.,0.000025236297128846477
7950.,0.000024067147668799943
8100.,0.0000229540074139659
8250.,0.000021894107935330897
8400.,0.000020884821844290452
8550.,0.000019923655389636545
8700.,0.00001900824145502691
8850.,0.000018136332934564365
9000.,0.000017305796465416532
9150.,0.00001651460649761934
9300.,0.000015760839682353046
9450.,0.000015042669561055875
9600.,0.000014358361538747521
9750.,0.00001370626812588803
9900.,0.000013084824433987989
10050.,0.000012492543911030607
10200.,0.000011928014303551912
10350.,0.000011389893832973581
10500.,0.000010876907574482812
10650.,0.000010387844027411019
10800.,9.921551866688277e-6
10950.,9.476936865530133e-6
11100.,9.0529589800704e-6
11250.,8.64862958716769e-6
11400.,8.263008867105426e-6
11550.,7.895203323365438e-6
11700.,7.544363432089062e-6
11850.,7.209681414250482e-6
12000.,6.8903891239521995e-6
12150.,6.585756046617468e-6
12300.,6.29508740119717e-6
12450.,6.017722340833006e-6
12600.,5.753032246724399e-6
12750.,5.5004191102346255e-6
12900.,5.259313998543039e-6
13050.,5.0291755994088e-6
13200.,4.80948884085044e-6
13350.,4.599763581777887e-6
13500.,4.399533369826218e-6
13650.,4.208354262845923e-6
13800.,4.0258037106961795e-6
13950.,3.851479494169208e-6
14100.,3.6849987180449517e-6
14250.,3.525996855438165e-6
14400.,3.374126840751873e-6
14550.,3.2290582086963332e-6
14700.,3.090476276969068e-6
14850.,2.9580813703199854e-6
15000.,2.8315880838482444e-6
15150.,2.7107245834921063e-6
15300.,2.595231941781864e-6
15450.,2.4848635070291057e-6
15600.,2.3793843042226776e-6
15750.,2.2785704659933274e-6
15900.,2.1822086920963464e-6
16050.,2.0900957359434693e-6
16200.,2.002037916792979e-6
16350.,1.9178506562803578e-6
16500.,1.8373580380416738e-6
16650.,1.7603923892470665e-6
16800.,1.6867938829244502e-6
16950.,1.6164101600117273e-6
17100.,1.5490959701322321e-6
17250.,1.4847128301399198e-6
17400.,1.4231286995313904e-6
17550.,1.3642176718683691e-6
17700.,1.307859681399453e-6
17850.,1.2539402241116141e-6
