z,P
150.,0.0004429328106408322
300.,0.0003207875092541442
450.,0.00025985243527897067
600.,0.00022092365738464654
750.,0.0001931030753148292
900.,0.00017188946448424097
1050.,0.00015501247638406495
1200.,0.00014117634168794532
1350.,0.00012957614630102084
1500.,0.00011967996258525393
1650.,0.0001111192449317372
1800.,0.00010362893418961681
1950.,0.00009701254751298167
2100.,0.00009112075077110873
2250.,0.00008583763564987262
2400.,0.000081071613070551
2550.,0.00007674918477818764
2700.,0.00007281057135131414
2850.,0.00006920657321362143
3000.,0.00006589627179265573
3150.,0.00006284531617276177
3300.,0.00006002462600712761
3450.,0.000057409395698510415
3600.,0.00005497832014932589
3750.,0.00005271298584518884
3900.,0.00005059738694406615
4050.,0.00004861753702191948
4200.,0.00004676115482613403
4350.,0.000045017407869592693
4500.,0.00004337670165378143
4650.,0.0000418305051996459
4800.,0.000040371205701554535
4950.,0.00003899198671628727
5100.,0.00003768672550396125
5250.,0.0000364499060558075
5400.,0.00003527654504918818
5550.,0.00003416212851686172
5700.,0.00003310255744428052
5850.,0.00003209410084434307
6000.,0.000031133355124781187
6150.,0.00003021720877513893
6300.,0.000029342811570100512
6450.,0.000028507547622843065
6600.,0.00002770901173310032
6750.,0.0000269449885650999
6900.,0.000026213434264633545
7050.,0.000025512460185493718
7200.,0.000024840318445906854
7350.,0.000024195389077425756
7500.,0.000023576168563611446
7650.,0.000022981259595002503
7800.,0.0000224093618913771
7950.,0.000021859263962955506
8100.,0.00002132983569965799
8250.,0.000020820021692350275
8400.,0.000020328835202621082
8550.,0.000019855352708404833
8700.,0.00001939870896198307
8850.,0.000018958092504815193
9000.,0.000018532741590466754
9150.,0.00001812194047278765
9300.,0.00001772501602158405
9450.,0.000017341334632448364
9600.,0.000016970299401250796
9750.,0.000016611347537145378
9900.,0.000016263947990867047
10050.,0.000015927599277657512
10200.,0.00001560182747640043
10350.,0.000015286184388521594
10500.,0.000014980245841946019
10650.,0.000014683610126937027
10800.,0.000014395896551996807
10950.,0.000014116744109206588
11100.,0.000013845810239449707
11250.,0.000013582769688903565
11400.,0.000013327313449028106
11550.,0.000013079147773028338
11700.,0.000012837993262434896
11850.,0.000012603584018046295
12000.,0.000012375666850009998
12150.,0.000012154000542299852
12300.,0.000011938355167276858
12450.,0.000011728511446408223
12600.,0.000011524260153566519
12750.,0.000011325401557645138
12900.,0.000011131744901509254
13050.,0.00001094310791455738
13200.,0.00001075931635639832
13350.,0.000010580203589359616
13500.,0.00001040561017773267
13650.,0.000010235383511830069
13800.,0.000010069377455090725
13950.,9.907452012606573e-6
14100.,9.749473019576954e-6
14250.,9.59531184831339e-6
14400.,9.444845132525214e-6
14550.,9.297954507714925e-6
14700.,9.154526366601788e-6
14850.,9.014451628573932e-6
15000.,8.877625522244672e-6
15150.,8.743947380257957e-6
15300.,8.613320445549697e-6
15450.,8.485651688331155e-6
15600.,8.36085163311271e-6
15750.,8.23883419513574e-6
15900.,8.119516525625033e-6
16050.,8.00281886531598e-6
16200.,7.888664405748636e-6
16350.,7.776979157855714e-6
16500.,7.667691827405013e-6
16650.,7.560733696885189e-6
16800.,7.456038513453599e-6
16950.,7.353542382588087e-6
17100.,7.253183667110718e-6
17250.,7.154902891271517e-6
17400.,7.058642649601943e-6
17550.,6.964347520265673e-6
17700.,6.871963982652691e-6
17850.,6.781440338978109e-6
18000.,6.69272663966289e-6
18150.,6.605774612287041e-6
18300.,6.520537593919607e-6
18450.,6.4369704666413706e-6
18600.,6.3550295960875175e-6
18750.,6.274672772848346e-6
18900.,6.195859156575833e-6
19050.,6.11854922265262e-6
19200.,6.0427047112890725e-6
19350.,5.968288578921928e-6
19500.,5.895264951794774e-6
19650.,5.82359908160897e-6
19800.,5.753257303138528e-6
19950.,5.684206993709977e-6
20100.,5.6164165344527325e-6
20250.,5.549855273231733e-6
20400.,5.484493489178695e-6
20550.,5.420302358742951e-6
20700.,5.3572539231873994e-6
20850.,5.295321057459273e-6
21000.,5.234477440368987e-6
21150.,5.174697526014273e-6
21300.,5.115956516390165e-6
21450.,5.058230335128333e-6
21600.,5.001495602312675e-6
21750.,4.945729610320682e-6
21900.,4.890910300642524e-6
22050.,4.837016241633164e-6
22200.,4.784026607153715e-6
22350.,4.7319211560624005e-6
22500.,4.680680212515326e-6
22650.,4.630284647041665e-6
22800.,4.580715858357497e-6
22950.,4.531955755885809e-6
23100.,4.48398674295127e-6
23250.,4.436791700619922e-6
23400.,4.3903539721554075e-6
23550.,4.344657348065053e-6
23700.,4.2996860517100525e-6
23850.,4.255424725455608e-6
24000.,4.211858417337481e-6
24150.,4.1689725682235394e-6
24300.,4.126752999448731e-6
24450.,4.085185900903864e-6
24600.,4.044257819559148e-6
24750.,4.0039556484040925e-6
24900.,3.964266615786903e-6
25050.,3.92517827513661e-6
25200.,3.886678495052154e-6
25350.,3.848755449743928e-6
25500.,3.8113976098128075e-6
25650.,3.7745937333535603e-6
25800.,3.738332857369504e-6
25950.,3.7026042894856274e-6
26100.,3.667397599948916e-6
26250.,3.6327026139038685e-6
26400.,3.5985094039330575e-6
26550.,3.5648082828516433e-6
26700.,3.5315897967466617e-6
26850.,3.4988447182510378e-6
27000.,3.4665640400435116e-6
27150.,3.434738968566012e-6
27300.,3.4033609179497237e-6
27450.,3.3724215041422763e-6
27600.,3.3419125392283893e-6
27750.,3.3118260259366046e-6
27900.,3.282154152325208e-6
28050.,3.2528892866406615e-6
28200.,3.224023972342181e-6
28350.,3.195550923286239e-6
28500.,3.1674630190652693e-6
28650.,3.139753300494707e-6
28800.,3.1124149652433784e-6
28950.,3.0854413636014497e-6
29100.,3.0588259943816386e-6
29250.,3.0325625009484265e-6
