z,P
250.,0.00004128692267381983
500.,0.00003999222869600506
750.,0.00003899386978085771
1000.,0.00003814109227953998
1250.,0.00003737927610036289
1500.,0.00003668153666984293
1750.,0.00003603235169870219
2000.,0.00003542181400287064
2250.,0.00003484314546967309
2500.,0.000034291465239631014
2750.,0.0000337631174663151
3000.,0.00003325527682052352
3250.,0.00003276570345524781
3500.,0.000032292583683121775
3750.,0.00003183442240741242
4000.,0.00003138996816363664
4250.,0.000030958159461223486
4500.,0.00003053808547129534
4750.,0.000030128956636924783
5000.,0.000029730082307367493
5250.,0.000029340853447223168
5500.,0.000028960729079574037
5750.,0.000028589225521511127
6000.,0.000028225907738681058
6250.,0.000027870382329315674
6500.,0.000027522291776473203
6750.,0.00002718130969824829
7000.,0.00002684713689125017
7250.,0.000026519498010527044
7500.,0.00002619813876451158
7750.,0.000025882823530060762
8000.,0.000025573333312693923
8250.,0.00002526946399244888
8500.,0.000024971024807582568
8750.,0.000024677837037527284
9000.,0.00002438973285371843
9250.,0.000024106554312613804
9500.,0.000023828152469739152
9750.,0.000023554386597254936
10000.,0.000023285123490445688
10250.,0.000023020236850928945
10500.,0.000022759606736313596
10750.,0.00002250311906763663
11000.,0.000022250665187214804
11250.,0.000022002141460643106
11500.,0.000021757448917572212
11750.,0.000021516492926667036
12000.,0.000021279182900767117
12250.,0.000021045432028827666
12500.,0.00002081515703165779
12750.,0.000020588277938870493
13000.,0.000020364717884780945
13250.,0.000020144402921274977
13500.,0.000019927261845911643
13750.,0.000019713226043731028
14000.,0.000019502229341417958
14250.,0.00001929420787262927
14500.,0.000019089099953427076
14750.,0.00001888684596687816
15000.,0.00001868738825598213
15250.,0.00001849067102418115
15500.,0.000018296640242784996
15750.,0.00001810524356470922
16000.,0.00001791643024399342
16250.,0.000017730151060612605
16500.,0.000017546358250147427
16750.,0.000017365005437920317
17000.,0.000017186047577241864
17250.,0.00001700944089144453
17500.,0.000016835142819413065
17750.,0.000016663111964345425
18000.,0.00001649330804550275
18250.,0.0000163256918527285
18500.,0.000016160225203536583
18750.,0.000015996870902583652
19000.,0.000015835592703360387
19250.,0.000015676355271944537
19500.,0.000015519124152677595
19750.,0.000015363865735634425
20000.,0.000015210547225767131
20250.,0.000015059136613612629
20500.,0.000014909602647464047
20750.,0.00001476191480691269
21000.,0.000014616043277673529
21250.,0.000014471958927615193
21500.,0.000014329633283920995
21750.,0.000014189038511312352
22000.,0.000014050147391271555
22250.,0.000013912933302205247
22500.,0.000013777370200492588
22750.,0.00001364343260237053
23000.,0.000013511095566604746
23250.,0.000013380334677905727
23500.,0.000013251126031046755
23750.,0.00001312344621564736
24000.,0.000012997272301583464
24250.,0.000012872581824994589
24500.,0.000012749352774853227
24750.,0.00001262756358006992
25000.,0.000012507193097104406
25250.,0.00001238822059805859
25500.,0.000012270625759226311
25750.,0.000012154388650077698
26000.,0.000012039489722656405
26250.,0.000011925909801369852
26500.,0.000011813630073153979
26750.,0.000011702632077993918
27000.,0.000011592897699784869
27250.,0.000011484409157516404
27500.,0.00001137714899676611
27750.,0.000011271100081488015
28000.,0.000011166245586082952
28250.,0.00001106256898773789
28500.,0.00001096005405902255
28750.,0.000010858684860732522
29000.,0.000010758445734967471
29250.,0.00001065932129843494
29500.,0.00001056129643597021
29750.,0.000010464356294262677
30000.,0.000010368486275781023
30250.,0.000010273672032887946
30500.,0.000010179899462138202
30750.,0.00001008715469875087
31000.,9.995424111250357e-6
31250.,9.904694296268664e-6
31500.,9.814952073502821e-6
31750.,9.726184480821762e-6
32000.,9.63837876951617e-6
32250.,9.551522399687038e-6
32500.,9.465603035766372e-6
32750.,9.380608542166087e-6
33000.,9.296526979049908e-6
33250.,9.213346598224244e-6
33500.,9.131055839142901e-6
33750.,9.049643325022222e-6
34000.,8.969097859062355e-6
34250.,8.88940842077152e-6
34500.,8.810564162388466e-6
34750.,8.732554405400915e-6
35000.,8.655368637156058e-6
35250.,8.578996507560112e-6
