z,p
150.,0.00029722010674525576
300.,0.00027800529918317173
450.,0.00026161695665762773
600.,0.00024695403646605497
750.,0.00023357483494053732
900.,0.00022123712388596615
1050.,0.00020978460029280155
1200.,0.00019910580298690295
1350.,0.00018911577762865551
1500.,0.0001797466883957967
1650.,0.00017094251274593115
1800.,0.00016265581046024733
1950.,0.00015484563607876222
2100.,0.0001474761236600886
2250.,0.00014051548824005287
2400.,0.00013393529713627453
2550.,0.00012770992262670555
2700.,0.00012181612050774708
2850.,0.00011623269849239975
3000.,0.00011094025032388229
3150.,0.0001059209390194221
3300.,0.00010115831756849858
3450.,0.00009663717868965508
3600.,0.00009234342749170139
3750.,0.00008826397244918706
3900.,0.00008438663121391262
4050.,0.00008070004858819735
4200.,0.00007719362457612457
4350.,0.00007385745086895623
4500.,0.00007068225445311553
4650.,0.00006765934728307413
4800.,0.00006478058115784186
4950.,0.0000620383070932268
5100.,0.00005942533860314009
5250.,0.00005693491839979562
5400.,0.000054560688100210416
5550.,0.00005229666058934379
5700.,0.000050137194741574
5850.,0.00004807697224452147
6000.,0.00004611097630426197
6150.,0.000044234472040208276
6300.,0.00004244298840249822
6450.,0.00004073230146542893
6600.,0.00003909841896808782
6750.,0.000037537565988349846
6900.,0.00003604617164929441
7050.,0.00003462085676820401
7200.,0.00003325842236793328
7350.,0.000031955838978790596
7500.,0.00003071023666638762
7650.,0.00002951889572730716
7800.,0.00002837923800007577
7950.,0.000027288818743896323
8100.,0.00002624531904199432
8250.,0.000025246538690352557
8400.,0.000024290389536080346
8550.,0.000023374889232787058
8700.,0.000022498155383113498
8850.,0.000021658400041078542
9000.,0.000020853924549157006
9150.,0.00002008311468703615
9300.,0.000019344436110834836
9450.,0.00001863643006324293
9600.,0.0000179577093365444
9750.,0.000017306954471865077
9900.,0.0000166829101792412
10050.,0.000016084381964245847
10200.,0.000015510232947957072
10350.,0.000014959380868006098
10500.,0.000014430795249323898
10650.,0.00001392349473400542
10800.,0.000013436544560454152
10950.,0.000012969054182646011
11100.,0.00001252017502098334
11250.,0.000012089098336783566
11400.,0.000011675053222982895
11550.,0.000011277304704130136
11700.,0.000010895151939198648
11850.,0.000010527926521170208
12000.,0.00001017499086773457
12150.,9.835736697812894e-6
12300.,9.50958358894813e-6
12450.,9.195977610922994e-6
12600.,8.894390031252373e-6
12750.,8.604316088472541e-6
12900.,8.325273829398774e-6
13050.,8.056803006760221e-6
13200.,7.798464033838294e-6
13350.,7.549836992941082e-6
13500.,7.31052069473581e-6
13650.,7.08013178563986e-6
13800.,6.858303900638873e-6
13950.,6.644686859053519e-6
14100.,6.4389459009250484e-6
14250.,6.240760961823861e-6
14400.,6.049825984014759e-6
14550.,5.865848262030797e-6
14700.,5.688547820820254e-6
14850.,5.517656824737131e-6
15000.,5.35291901574235e-6
15150.,5.194089179277463e-6
15300.,5.040932636357915e-6
15450.,4.89322476051521e-6
15600.,4.750750518293868e-6
15750.,4.613304032081161e-6
15900.,4.480688164114805e-6
16050.,4.352714120578289e-6
16200.,4.229201074752902e-6
16350.,4.109975808251569e-6
16500.,3.994872369413891e-6
16650.,3.883731747990291e-6
16800.,3.776401565291312e-6
16950.,3.672735779021898e-6
17100.,3.572594402062812e-6
17250.,3.475843234500066e-6
17400.,3.3823536082410604e-6
17550.,3.2920021435908705e-6
17700.,3.20467051719537e-6
17850.,3.1202452407886885e-6
18000.,3.038617450212776e-6
18150.,2.959682704203712e-6
18300.,2.883340792466542e-6
18450.,2.8094955525846945e-6
18600.,2.738054695333705e-6
18750.,2.668929637991217e-6
18900.,2.6020353452560623e-6
19050.,2.5372901774089933e-6
19200.,2.47461574536679e-6
19350.,2.413936772298492e-6
19500.,2.355180961490111e-6
19650.,2.2982788701592616e-6
19800.,2.24316378893688e-6
19950.,2.1897716267468234e-6
20100.,2.1380408008282126e-6
20250.,2.0879121316574094e-6
20400.,2.039328742539424e-6
20550.,1.992235963649421e-6
20700.,1.9465812403158648e-6
20850.,1.9023140453476615e-6
21000.,1.8593857952165412e-6
21150.,1.8177497699160668e-6
21300.,1.7773610363267629e-6
21450.,1.7381763749254748e-6
21600.,1.700154209684799e-6
21750.,1.6632545410161495e-6
21900.,1.6274388816167867e-6
22050.,1.5926701950881524e-6
22200.,1.5589128371990446e-6
22350.,1.526132499673445e-6
22500.,1.4942961563882982e-6
22650.,1.4633720118723491e-6
22800.,1.4333294520019848e-6
22950.,1.4041389967952685e-6
23100.,1.3757722552098315e-6
23250.,1.3482018818549265e-6
23400.,1.321401535531934e-6
23550.,1.2953458395219166e-6
23700.,1.2700103435424463e-6
23850.,1.2453714872996711e-6
24000.,1.221406565564919e-6
24150.,1.198093694708615e-6
24300.,1.1754117806272626e-6
24450.,1.1533404880022145e-6
24600.,1.1318602108319856e-6
24750.,1.1109520441821817e-6
24900.,1.090597757100133e-6
25050.,1.0707797666434012e-6
25200.,1.0514811129737566e-6
25350.,1.0326854354705877e-6
25500.,1.0143769498195265e-6
25650.,9.965404260343216e-7
25800.,9.791611673717991e-7
25950.,9.622249901014918e-7
26100.,9.457182040934664e-7
26250.,9.296275941892118e-7
26400.,9.139404023224189e-7
26550.,8.986443103575091e-7
26700.,8.837274236157028e-7
26850.,8.691782550592997e-7
27000.,8.549857101065106e-7
27150.,8.411390720502114e-7
27300.,8.27627988055212e-7
27450.,8.144424557097749e-7
27600.,8.015728101082134e-7
27750.,7.890097114423499e-7
27900.,7.767441330806286e-7
28050.,7.647673501146408e-7
28200.,7.530709283536292e-7
28350.,7.416467137484555e-7
28500.,7.30486822227304e-7
28650.,7.195836299260948e-7
28800.,7.089297637974833e-7
28950.,6.985180925827704e-7
29100.,6.883417181320348e-7
29250.,6.783939670581223e-7
29400.,6.686683827109702e-7
29550.,6.59158717459201e-7
29700.,6.498589252665637e-7
29850.,6.407631545512155e-7
30000.,6.31865741316518e-7
30150.,6.231612025422945e-7
30300.,6.146442298261734e-7
30450.,6.063096832649261e-7
30600.,5.981525855661889e-7
30750.,5.901681163814177e-7
30900.,5.823516068511944e-7
31050.,5.746985343544715e-7
31200.,5.672045174536754e-7
31350.,5.598653110278799e-7
31500.,5.526768015866305e-7
31650.,5.456350027573218e-7
31800.,5.387360509392694e-7
