z,P
150.,0.0005364906184422966
300.,0.0001620967843935273
450.,0.00007994802743011002
600.,0.000048475261106183664
750.,0.000032927521364158583
900.,0.000024030285236028175
1050.,0.000018425103143797235
1200.,0.000014646046203065579
1350.,0.000011966331831954825
1500.,9.990579768391496e-6
1650.,8.487906859308728e-6
1800.,7.31573480155378e-6
1950.,6.381936670567937e-6
2100.,5.624712423943423e-6
2250.,5.001278683945868e-6
2400.,4.481210187129094e-6
2550.,4.042362201760008e-6
2700.,3.668287421233796e-6
2850.,3.3465506668692128e-6
3000.,3.067600547506483e-6
3150.,2.8239965280297043e-6
3300.,2.609868549309215e-6
3450.,2.420532256279694e-6
3600.,2.2522104652773643e-6
3750.,2.101828496104387e-6
3900.,1.966861715433022e-6
4050.,1.8452205464662429e-6
4200.,1.7351627379182788e-6
4350.,1.6352257196220289e-6
4500.,1.5441739339510655e-6
4650.,1.4609574544670289e-6
4800.,1.3846791978655994e-6
4950.,1.3145687399114029e-6
5100.,1.2499612511921592e-6
5250.,1.1902804347097975e-6
5400.,1.1350246155589606e-6
5550.,1.0837553313492846e-6
5700.,1.036087920133406e-6
5850.,9.916837141163603e-7
6000.,9.50243532068696e-7
6150.,9.115022281123907e-7
6300.,8.752241044342996e-7
6450.,8.41199034181912e-7
6600.,8.092391710148429e-7
6750.,7.791761455280673e-7
6900.,7.508586675269336e-7
7050.,7.241504680470856e-7
7200.,6.989285269281149e-7
7350.,6.750815413191962e-7
7500.,6.525085982177301e-7
7650.,6.311180204033493e-7
7800.,6.10826360229162e-7
7950.,5.915575199026949e-7
8100.,5.732419803142756e-7
8250.,5.558161232946839e-7
8400.,5.392216345210424e-7
8550.,5.234049762313389e-7
8700.,5.083169205261139e-7
8850.,4.939121353891997e-7
9000.,4.801488166949853e-7
9150.,4.669883604254381e-7
9300.,4.543950701270073e-7
9450.,4.423358953208138e-7
9600.,4.307801971595579e-7
9750.,4.196995381185493e-7
9900.,4.090674929298431e-7
10050.,3.9885947832934533e-7
10200.,3.890525994962907e-7
10350.,3.796255113307506e-7
10500.,3.70558292944331e-7
10650.,3.6183233393745546e-7
10800.,3.534302312083259e-7
10950.,3.453356951875594e-7
11100.,3.3753346452202264e-7
11250.,3.3000922834418377e-7
11400.,3.2274955536175435e-7
11550.,3.1574182908855116e-7
11700.,3.0897418861289143e-7
11850.,3.0243547436609716e-7
12000.,2.96115178411879e-7
12150.,2.9000339882864266e-7
12300.,2.840907978019927e-7
12450.,2.7836856308466915e-7
12600.,2.72828372516515e-7
12750.,2.6746236132841196e-7
12900.,2.622630919819471e-7
13050.,2.5722352632132153e-7
13200.,2.523369998359648e-7
13350.,2.4759719785202114e-7
13500.,2.4299813348833725e-7
13650.,2.38534127228234e-7
13800.,2.3419978797239937e-7
13950.,2.299899954507373e-7
14100.,2.2589988388231023e-7
14250.,2.2192482678261305e-7
14400.,2.180604228265154e-7
14550.,2.1430248268340652e-7
14700.,2.1064701674845128e-7
14850.,2.0709022370053772e-7
15000.,2.0362847982350197e-7
15150.,2.0025832903268162e-7
15300.,1.9697647355374233e-7
15450.,1.9377976520521525e-7
15600.,1.9066519724021798e-7
15750.,1.876298967065121e-7
15900.,1.846711172873803e-7
16050.,1.8178623258887126e-7
16200.,1.789727298416952e-7
16350.,1.76228203988596e-7
16500.,1.73550352130322e-7
16650.,1.709369683054076e-7
16800.,1.6838593858091234e-7
16950.,1.6589523643299782e-7
17100.,1.6346291839785067e-7
17250.,1.6108711997491038e-7
17400.,1.5876605176572147e-7
17550.,1.5649799583295786e-7
17700.,1.5428130226531347e-7
17850.,1.5211438593497715e-7
18000.,1.499957234353933e-7
18150.,1.479238501878653e-7
18300.,1.458973577063957e-7
18450.,1.4391489101089036e-7
18600.,1.4197514617954473e-7
18750.,1.4007686803187537e-7
18900.,1.3821884793444087e-7
19050.,1.3639992172183707e-7
19200.,1.3461896772606559e-7
19350.,1.328749049078252e-7
19500.,1.311666910837089e-7
19650.,1.2949332124369986e-7
19800.,1.2785382595370738e-7
19950.,1.262472698382443e-7
20100.,1.2467275013865708e-7
20250.,1.231293953426098e-7
20400.,1.2161636388080986e-7
20550.,1.2013284288720678e-7
20700.,1.186780470191315e-7
20850.,1.1725121733407652e-7
21000.,1.1585162022000366e-7
21150.,1.1447854637627364e-7
21300.,1.1313130984246051e-7
21450.,1.1180924707247931e-7
21600.,1.1051171605161692e-7
21750.,1.0923809545419458e-7
21900.,1.0798778383972282e-7
22050.,1.0676019888554992e-7
22200.,1.0555477665409759e-7
22350.,1.0437097089292004e-7
22500.,1.0320825236588934e-7
22650.,1.0206610821394269e-7
22800.,1.0094404134388751e-7
22950.,9.984156984386176e-8
23100.,9.875822642412199e-8
23250.,9.769355788190569e-8
23400.,9.664712458918027e-8
23550.,9.561850000216535e-8
23700.,9.460727019156692e-8
23850.,9.361303339252824e-8
24000.,9.263539957334497e-8
24150.,9.16739900220601e-8
24300.,9.072843695008243e-8
24450.,8.97983831120329e-8
24600.,8.888348144105977e-8
24750.,8.798339469889796e-8
24900.,8.709779513999873e-8
25050.,8.622636418907788e-8
25200.,8.536879213146853e-8
25350.,8.4524777815706e-8
25500.,8.369402836777942e-8
25650.,8.2876258916538e-8
25800.,8.207119232975096e-8
25950.,8.127855896034276e-8
26100.,8.049809640236568e-8
26250.,7.972954925627218e-8
26400.,7.897266890309126e-8
26550.,7.822721328711268e-8
26700.,7.749294670672359e-8
26850.,7.676963961303801e-8
27000.,7.605706841599138e-8
27150.,7.535501529758778e-8
27300.,7.466326803198938e-8
27450.,7.398161981216746e-8
27600.,7.330986908284153e-8
27750.,7.264781937944225e-8
27900.,7.199527917285241e-8
28050.,7.135206171968739e-8
28200.,7.071798491789095e-8
28350.,7.009287116742754e-8
28500.,6.947654723586913e-8
28650.,6.886884412867485e-8
28800.,6.826959696398377e-8
28950.,6.767864485173043e-8
29100.,6.709583077692347e-8
29250.,6.652100148691654e-8
29400.,6.595400738251535e-8
29550.,6.539470241277672e-8
29700.,6.484294397334914e-8
29850.,6.429859280822476e-8
30000.,6.376151291476943e-8
30150.,6.323157145190273e-8
30300.,6.270863865131416e-8
30450.,6.219258773159738e-8
30600.,6.16832948151902e-8
30750.,6.118063884802265e-8
30900.,6.068450152176392e-8
31050.,6.019476719857768e-8
31200.,5.971132283829108e-8
31350.,5.923405792788924e-8
31500.,5.8762864413248606e-8
31650.,5.829763663303118e-8
31800.,5.783827125465849e-8
31950.,5.738466721229113e-8
32100.,5.6936725646742356e-8
32250.,5.6494349847257396e-8
32400.,5.605744519508983e-8
32550.,5.562591910881396e-8
32700.,5.519968099131091e-8
32850.,5.477864217837071e-8
33000.,5.436271588885119e-8
33150.,5.3951817176344746e-8
33300.,5.354586288229563e-8
33450.,5.314477159052068e-8
33600.,5.274846358308533e-8
33750.,5.2356860797487573e-8
33900.,5.196988678510695e-8
34050.,5.158746667087333e-8
34200.,5.120952711411826e-8
34350.,5.0835996270564874e-8
34500.,5.046680375542223e-8
34650.,5.0101880607544846e-8
34800.,4.974115925462305e-8
34950.,4.93845734793708e-8
35100.,4.903205838667699e-8
35250.,4.8683550371690375e-8
35400.,4.8338987088805845e-8
35550.,4.799830742152437e-8
35700.,4.766145145315847e-8
35850.,4.732836043835495e-8
36000.,4.6998976775408564e-8
36150.,4.667324397934528e-8
36300.,4.635110665574344e-8
36450.,4.603251047527754e-8
36600.,4.571740214895598e-8
36750.,4.5405729404034186e-8
36900.,4.509744096058071e-8
37050.,4.479248650867632e-8
37200.,4.449081668622681e-8
37350.,4.419238305737071e-8
37500.,4.389713809146247e-8
37650.,4.3605035142615024e-8
37800.,4.331602842978366e-8
37950.,4.303007301737552e-8
38100.,4.27471247963683e-8
38250.,4.246714046592316e-8
38400.,4.219007751547638e-8
38550.,4.191589420729711e-8
38700.,4.164454955949492e-8
38850.,4.137600332946564e-8
39000.,4.111021599776276e-8
39150.,4.084714875238004e-8
39300.,4.058676347343534e-8
39450.,4.032902271824204e-8
39600.,4.007388970675882e-8
39750.,3.9821328307405556e-8
39900.,3.957130302323405e-8
40050.,3.932377897844631e-8
40200.,3.9078721905246215e-8
40350.,3.8836098131019105e-8
40500.,3.8595874565827455e-8
40650.,3.835801869021445e-8
40800.,3.812249854330705e-8
40950.,3.788928271120948e-8
41100.,3.7658340315679724e-8
41250.,3.74296410030801e-8
41400.,3.7203154933596136e-8
41550.,3.6978852770714295e-8
41700.,3.675670567095181e-8
41850.,3.6536685273833794e-8
42000.,3.6318763692107355e-8
42150.,3.610291350218925e-8
42300.,3.588910773483938e-8
42450.,3.567731986605379e-8
42600.,3.546752380817152e-8
42750.,3.525969390119132e-8
42900.,3.5053804904287856e-8
43050.,3.484983198752865e-8
43200.,3.464775072378017e-8
43350.,3.444753708080244e-8
43500.,3.424916741352453e-8
43650.,3.4052618456497784e-8
43800.,3.3857867316521983e-8
43950.,3.366489146543753e-8
44100.,3.3473668733083596e-8
44250.,3.328417730041358e-8
44400.,3.3096395692767585e-8
44550.,3.2910302773294135e-8
44700.,3.272587773652061e-8
44850.,3.254310010206633e-8
45000.,3.236194970849634e-8
45150.,3.218240670731041e-8
45300.,3.200445155706587e-8
45450.,3.182806501762862e-8
45600.,3.165322814455182e-8
45750.,3.1479922283576224e-8
45900.,3.1308129065251504e-8
46050.,3.113783039967334e-8
46200.,3.096900847133613e-8
46350.,3.080164573409481e-8
46500.,3.0635724906236985e-8
46650.,3.04712289656596e-8
46800.,3.0308141145149436e-8
46950.,3.01464449277636e-8
47100.,2.9986124042309006e-8
47250.,2.982716245891645e-8
47400.,2.9669544384709646e-8
47550.,2.9513254259563862e-8
47700.,2.9358276751954997e-8
47850.,2.9204596754893695e-8
48000.,2.9052199381946765e-8
48150.,2.890106996333855e-8
48300.,2.8751194042135194e-8
48450.,2.8602557370506554e-8
48600.,2.8455145906065706e-8
48750.,2.8308945808282925e-8
48900.,2.8163943434974158e-8
49050.,2.802012533886012e-8
49200.,2.787747826419537e-8
49350.,2.7735989143467033e-8
