,time,z_minus,z_plus
50,15.0,27865408.0,1096067912.0
50,15.0,27865408.0,1096067912.0
50,15.0,1717718.0,392211.0
50,15.0,4465391.0,758635.0
50,15.0,5512574.0,84721928.0
50,15.0,701900.0,985446.0
50,15.0,6261032.0,1721220.0
50,15.0,1143126.0,648672.0
50,15.0,2760564.0,1084192.0
50,15.0,2667152.0,128400.0
50,15.0,27779.0,290.0
50,15.0,3088368.0,1796966.0
50,15.0,3468005.0,1184254.0
50,15.0,2554078.0,2587386.0
50,15.0,27448.0,7519.0
50,15.0,4269971.0,4026649.0
50,15.0,2144835.0,275447.0
50,15.0,1489754.0,128109.0
50,15.0,345788.0,29544.0
50,15.0,1564043.0,325322.0
50,15.0,1765894.0,465037.0
50,15.0,1236422.0,138484.0
50,15.0,1478558.0,244520.0
50,15.0,1025477.0,3589006.0
50,15.0,13021054.0,5464487.0
50,15.0,3753664.0,417917.0
50,15.0,7381767.0,5011106.0
50,15.0,14606461.0,1710489.0
50,15.0,1101224.0,373581.0
50,15.0,479066.0,25159.0
50,15.0,5386120.0,607257.0
50,15.0,2878123.0,314573.0
50,15.0,1553705.0,62134.0
50,15.0,3916533.0,5166120.0
50,15.0,591808.0,22889.0
50,15.0,2664050.0,9442270.0
50,15.0,229073.0,5890.0
50,15.0,19183533.0,150666402.0
50,15.0,9768094.0,3148255.0
50,15.0,1586177.0,312800.0
50,15.0,127820.0,17570.0
50,15.0,8829940.0,26470689.0
50,15.0,16537199.0,10554329.0
50,15.0,294303.0,14794.0
50,15.0,11270688.0,3988332.0
50,15.0,2716927.0,545789.0
50,15.0,1555698.0,203837.0
50,15.0,2664114.0,1179467.0
50,15.0,668573.0,9734.0
50,15.0,7142957.0,7532780.0
50,15.0,11400404.0,5781495.0
50,15.0,4402109.0,10245893.0
50,15.0,308169.0,871057.0
50,15.0,3355143.0,8335201.0
50,15.0,4045145.0,6725826.0
50,15.0,4259110.0,1972836.0
50,15.0,1137178.0,54331.0
50,15.0,7965538.0,5521871.0
50,15.0,1076014.0,48253.0
50,15.0,417517.0,71385.0
50,15.0,1329955.0,3517078.0
50,15.0,327548.0,63987.0
50,15.0,664164.0,51617.0
50,15.0,11196489.0,2362944.0
50,15.0,1643813.0,606636.0
50,15.0,1643582.0,309728.0
50,15.0,4520243.0,643836.0
50,15.0,2111001.0,290354.0
50,15.0,1005351.0,211264.0
50,15.0,7987583.0,2472487.0
50,15.0,16250663.0,3514324.0
50,15.0,760471.0,44259.0
50,15.0,8352451.0,7217864.0
50,15.0,6301860.0,3708554.0
50,15.0,964054.0,88567.0
50,15.0,1785786.0,98817.0
50,15.0,112380.0,13825.0
50,15.0,80546.0,9988.0
50,15.0,757630.0,131465.0
50,15.0,1023945.0,344288.0
50,15.0,2849055.0,1319295.0
50,15.0,1881591.0,117271.0
50,15.0,8521738.0,127283374.0
50,15.0,2292050.0,1121000.0
50,15.0,23263.0,234.0
50,15.0,103724.0,17920.0
50,15.0,10814162.0,416986978.0
50,15.0,1493991.0,1360186.0
50,15.0,5364943.0,4445456.0
50,15.0,891159.0,81311.0
50,15.0,3202643.0,413895.0
50,15.0,414990.0,41975.0
50,15.0,3660650.0,1580179.0
50,15.0,4414785.0,876503.0
50,15.0,7425767.0,3632456.0
50,15.0,686984.0,38187.0
50,15.0,3717312.0,582426.0
50,15.0,48394.0,326.0
50,15.0,3618625.0,1585281.0
50,15.0,154085.0,1257.0
50,15.0,3574543.0,2731729.0
50,15.0,3142989.0,570254.0
50,15.0,2035628.0,144471.0
50,15.0,52816.0,770.0
50,15.0,9163139.0,2214742.0
50,15.0,4219017.0,4662231.0
50,15.0,817899.0,25140.0
50,15.0,3499680.0,9176401.0
50,15.0,1237724.0,829001.0
50,15.0,5141943.0,403071.0
50,15.0,2811779.0,1354567.0
50,15.0,217149.0,7023.0
50,15.0,2370966.0,2289764.0
50,15.0,37433.0,174.0
50,15.0,832118.0,277688.0
50,15.0,3323695.0,181160.0
50,15.0,4750223.0,823377.0
