,time,z_minus,z_plus
50,10.0,85082.0,23355.0
50,10.0,85082.0,23355.0
50,10.0,30546.0,865.0
50,10.0,114914.0,3215.0
50,10.0,96618.0,24082.0
50,10.0,99710.0,2416.0
50,10.0,127126.0,2659.0
50,10.0,128979.0,5042.0
50,10.0,22982.0,616.0
50,10.0,130097.0,3345.0
50,10.0,60270.0,1190.0
50,10.0,274344.0,10790.0
50,10.0,62004.0,309465.0
50,10.0,161043.0,5087.0
50,10.0,185414.0,5330.0
50,10.0,29114.0,867.0
50,10.0,90418.0,7886.0
50,10.0,99257.0,3690.0
50,10.0,41120.0,904.0
50,10.0,373483.0,23928.0
50,10.0,207390.0,10641.0
50,10.0,62552.0,1580.0
50,10.0,440704.0,13868.0
50,10.0,455225.0,61934.0
50,10.0,57549.0,1784.0
50,10.0,140471.0,19967.0
50,10.0,138581.0,4837.0
50,10.0,47586.0,1908.0
50,10.0,256652.0,8562.0
50,10.0,426774.0,52509.0
50,10.0,56627.0,6290.0
50,10.0,145168.0,2994.0
50,10.0,52057.0,2109.0
50,10.0,153277.0,20437.0
50,10.0,44595.0,3123.0
50,10.0,37633.0,4283.0
50,10.0,181605.0,4762.0
50,10.0,46593.0,2364.0
50,10.0,112677.0,6886.0
50,10.0,255852.0,6832.0
50,10.0,143060.0,5842.0
50,10.0,645894.0,30879.0
50,10.0,127266.0,9069.0
50,10.0,169819.0,109228.0
50,10.0,66878.0,1893.0
50,10.0,50466.0,3704.0
50,10.0,47766.0,3770.0
50,10.0,314524.0,11106.0
50,10.0,370674.0,19415.0
50,10.0,235407.0,6321.0
50,10.0,25148.0,332.0
50,10.0,41815.0,1390.0
50,10.0,106353.0,3957.0
50,10.0,260896.0,10727.0
50,10.0,886218.0,33965.0
50,10.0,89236.0,9474.0
50,10.0,165286.0,4601.0
50,10.0,50041.0,1312.0
50,10.0,127595.0,2737.0
50,10.0,39871.0,1004.0
50,10.0,76201.0,2541.0
50,10.0,81476.0,13705.0
50,10.0,131466.0,4273.0
50,10.0,2136.0,66.0
50,10.0,12287.0,1191.0
50,10.0,12166.0,237.0
50,10.0,69795.0,3081.0
50,10.0,7582.0,87.0
50,10.0,532905.0,17256.0
50,10.0,31297.0,738.0
50,10.0,193736.0,5153.0
50,10.0,167479.0,3694.0
50,10.0,141077.0,6152.0
50,10.0,448851.0,10763.0
50,10.0,38368.0,854.0
50,10.0,242823.0,5999.0
50,10.0,126170.0,2918.0
50,10.0,143234.0,6004.0
50,10.0,38112.0,5641.0
50,10.0,43900.0,8594.0
50,10.0,467764.0,14586.0
50,10.0,351982.0,18159.0
50,10.0,152310.0,3950.0
50,10.0,124714.0,3205.0
50,10.0,296209.0,15271.0
50,10.0,6273.0,88.0
50,10.0,223138.0,6697.0
50,10.0,63106.0,7817.0
50,10.0,354220.0,11742.0
50,10.0,25745.0,555.0
50,10.0,33588.0,2911.0
50,10.0,22074.0,1898.0
50,10.0,573095.0,17626.0
50,10.0,6921.0,103.0
50,10.0,108604.0,3176.0
50,10.0,56102.0,1195.0
50,10.0,55172.0,1183.0
50,10.0,3790.0,134.0
50,10.0,448993.0,33474.0
50,10.0,17359.0,233.0
50,10.0,313068.0,10102.0
50,10.0,7719.0,408.0
50,10.0,179643.0,5942.0
50,10.0,177210.0,9244.0
50,10.0,60455.0,1383.0
50,10.0,80138.0,2376.0
50,10.0,20725.0,506.0
50,10.0,431260.0,12937.0
50,10.0,19599.0,515.0
50,10.0,61656.0,3209.0
50,10.0,192628.0,8989.0
50,10.0,51971.0,852.0
50,10.0,186734.0,4299.0
50,10.0,208070.0,6559.0
50,10.0,260056.0,12226.0
50,10.0,467511.0,22158.0
50,10.0,76229.0,3127.0
50,10.0,16717.0,2558.0
50,10.0,30877.0,32439.0
50,10.0,97779.0,5081.0
50,10.0,284693.0,9273.0
50,10.0,74830.0,1254.0
50,10.0,179518.0,5274.0
50,10.0,24403.0,588.0
50,10.0,162285.0,5413.0
50,10.0,7675.0,167.0
50,10.0,460879.0,18984.0
50,10.0,53401.0,1003.0
50,10.0,407721.0,15688.0
50,10.0,335931.0,22713.0
50,10.0,194015.0,11143.0
50,10.0,11470.0,322.0
50,10.0,194102.0,8389.0
50,10.0,193958.0,5073.0
50,10.0,31903.0,374.0
50,10.0,89502.0,4191.0
50,10.0,132839.0,5224.0
50,10.0,842084.0,76601.0
50,10.0,93422.0,2504.0
50,10.0,167227.0,3802.0
50,10.0,742032.0,45979.0
50,10.0,231209.0,4743.0
50,10.0,72408.0,1640.0
50,10.0,543003.0,18367.0
50,10.0,129852.0,10842.0
50,10.0,137097.0,6961.0
50,10.0,88298.0,3515.0
50,10.0,102089.0,2299.0
50,10.0,233652.0,7427.0
50,10.0,97790.0,2102.0
50,10.0,18139.0,876.0
50,10.0,271865.0,12407.0
