,time,z_minus,z_plus
50,10.0,5646.0,34.0
50,10.0,5646.0,34.0
50,10.0,70011.0,309.0
50,10.0,110703.0,314.0
50,10.0,469565.0,2587.0
50,10.0,9848.0,26.0
50,10.0,146158.0,733.0
50,10.0,193762.0,714.0
50,10.0,87579.0,227.0
50,10.0,79679.0,152.0
50,10.0,383992.0,2825.0
50,10.0,63716.0,211.0
50,10.0,68651.0,453.0
50,10.0,131390.0,2364.0
50,10.0,163649.0,1823.0
50,10.0,316323.0,3461.0
50,10.0,73409.0,264.0
50,10.0,22615.0,297.0
50,10.0,21941.0,34.0
50,10.0,624377.0,7519.0
50,10.0,170644.0,10499.0
50,10.0,494794.0,9434.0
50,10.0,550300.0,2364.0
50,10.0,216008.0,941.0
50,10.0,162223.0,751.0
50,10.0,741967.0,3409.0
50,10.0,207275.0,956.0
50,10.0,129774.0,523.0
50,10.0,4677.0,9.0
50,10.0,271279.0,1310.0
50,10.0,455687.0,2082.0
50,10.0,123815.0,8794.0
50,10.0,75159.0,348.0
50,10.0,169257.0,1024.0
50,10.0,454100.0,2893.0
50,10.0,168865.0,1002.0
50,10.0,65072.0,337.0
50,10.0,39544.0,84.0
50,10.0,119309.0,563.0
50,10.0,48310.0,160.0
50,10.0,106386.0,563.0
50,10.0,277468.0,13925.0
50,10.0,79352.0,322.0
50,10.0,277516.0,1651.0
50,10.0,60505.0,198.0
50,10.0,339518.0,1405.0
50,10.0,132760.0,976.0
50,10.0,17928.0,231.0
50,10.0,519322.0,2761.0
50,10.0,69293.0,3314.0
50,10.0,122600.0,464.0
50,10.0,239778.0,1018.0
50,10.0,156658.0,2109.0
50,10.0,175855.0,1664.0
50,10.0,203356.0,2950.0
50,10.0,112578.0,330.0
50,10.0,46304.0,265.0
50,10.0,176423.0,758.0
50,10.0,709121.0,2931.0
50,10.0,97221.0,296.0
50,10.0,549905.0,2425.0
50,10.0,338103.0,2170.0
50,10.0,440035.0,2076.0
50,10.0,890365.0,3204.0
50,10.0,142747.0,1570.0
50,10.0,227280.0,891.0
50,10.0,807200.0,14902.0
50,10.0,60575.0,348.0
50,10.0,58012.0,285.0
50,10.0,144903.0,10142.0
50,10.0,2204.0,5.0
50,10.0,227131.0,1899.0
50,10.0,10237.0,26.0
50,10.0,779902.0,4456.0
50,10.0,58339.0,126.0
50,10.0,386418.0,1817.0
50,10.0,28937.0,105.0
50,10.0,34209.0,237.0
50,10.0,205528.0,2341.0
50,10.0,42187.0,154.0
50,10.0,44550.0,218.0
50,10.0,87437.0,344.0
50,10.0,118718.0,428.0
50,10.0,450.0,8.0
50,10.0,23971.0,34.0
50,10.0,7966.0,32.0
50,10.0,15089.0,145.0
50,10.0,33172.0,169.0
50,10.0,410042.0,3396.0
50,10.0,71518.0,2058.0
50,10.0,360578.0,4622.0
50,10.0,22129.0,60.0
50,10.0,282964.0,1560.0
50,10.0,32043.0,155.0
50,10.0,34779.0,99.0
50,10.0,312853.0,1767.0
50,10.0,13875.0,66.0
50,10.0,73614.0,305.0
50,10.0,197560.0,695.0
50,10.0,245037.0,2721.0
50,10.0,18287.0,61.0
50,10.0,112571.0,3891.0
50,10.0,65873.0,194.0
50,10.0,72776.0,173.0
50,10.0,119715.0,508.0
50,10.0,72142.0,210.0
50,10.0,30619.0,131.0
50,10.0,65284.0,299.0
50,10.0,76999.0,747.0
50,10.0,41557.0,158.0
50,10.0,87624.0,564.0
50,10.0,11987.0,191.0
50,10.0,60543.0,289.0
50,10.0,225487.0,1186.0
50,10.0,16812.0,89.0
50,10.0,71535.0,275.0
50,10.0,174978.0,491.0
50,10.0,91895.0,291.0
50,10.0,50009.0,74.0
50,10.0,237409.0,1508.0
50,10.0,55364.0,133.0
50,10.0,6475.0,16.0
50,10.0,217805.0,1418.0
50,10.0,28473.0,109.0
50,10.0,99091.0,421.0
50,10.0,554980.0,2296.0
50,10.0,182576.0,842.0
50,10.0,216460.0,837.0
50,10.0,57748.0,324.0
50,10.0,146674.0,652.0
50,10.0,759489.0,3232.0
50,10.0,97.0,0.0
50,10.0,369899.0,5660.0
50,10.0,234841.0,941.0
50,10.0,9465.0,30.0
50,10.0,184399.0,1655.0
50,10.0,22720.0,43.0
50,10.0,25604.0,8292.0
50,10.0,107752.0,311.0
50,10.0,169719.0,2541.0
50,10.0,67104.0,198.0
50,10.0,182866.0,675.0
50,10.0,550087.0,2517.0
50,10.0,1486.0,1.0
50,10.0,196517.0,915.0
50,10.0,152073.0,2327.0
50,10.0,134688.0,1084.0
50,10.0,322567.0,2017.0
50,10.0,41244.0,79.0
50,10.0,88146.0,336.0
50,10.0,152539.0,544.0
50,10.0,50481.0,202.0
50,10.0,2309.0,3.0
50,10.0,75002.0,277.0
50,10.0,21773.0,34.0
50,10.0,55232.0,291.0
50,10.0,123342.0,522.0
50,10.0,20434.0,293.0
50,10.0,422623.0,1965.0
50,10.0,456799.0,3117.0
50,10.0,145540.0,615.0
50,10.0,55775.0,165.0
50,10.0,97395.0,707.0
50,10.0,257581.0,1407.0
50,10.0,67795.0,208.0
50,10.0,86923.0,240.0
50,10.0,69540.0,297.0
50,10.0,1738.0,0.0
50,10.0,372957.0,2439.0
50,10.0,629711.0,3652.0
50,10.0,76129.0,265.0
50,10.0,5871.0,2.0
50,10.0,126058.0,305.0
50,10.0,155701.0,1444.0
50,10.0,119044.0,836.0
50,10.0,125580.0,5665.0
50,10.0,210277.0,1589.0
50,10.0,131679.0,773.0
50,10.0,1461.0,1.0
50,10.0,119903.0,332.0
50,10.0,138253.0,1177.0
50,10.0,11575.0,15.0
50,10.0,40264.0,159.0
50,10.0,81699.0,1863.0
50,10.0,291925.0,2087.0
50,10.0,104586.0,536.0
50,10.0,48321.0,357.0
50,10.0,164607.0,751.0
50,10.0,29614.0,168.0
50,10.0,35397.0,76.0
50,10.0,47568.0,280.0
50,10.0,127885.0,660.0
50,10.0,9008.0,222.0
50,10.0,107503.0,538.0
50,10.0,116230.0,503.0
50,10.0,37930.0,72.0
50,10.0,206881.0,913.0
50,10.0,288918.0,2039.0
50,10.0,135513.0,546.0
50,10.0,81360.0,326.0
50,10.0,143421.0,1487.0
50,10.0,161171.0,496.0
50,10.0,75894.0,380.0
50,10.0,67239.0,278.0
50,10.0,55923.0,241.0
50,10.0,50656.0,275.0
50,10.0,271530.0,2807.0
50,10.0,42175.0,541.0
50,10.0,730003.0,2702.0
50,10.0,24025.0,78.0
50,10.0,7336.0,45.0
50,10.0,310099.0,3590.0
50,10.0,17173.0,442.0
50,10.0,375974.0,3046.0
50,10.0,70714.0,307.0
50,10.0,3261.0,6.0
50,10.0,80029.0,444.0
50,10.0,40628.0,143.0
50,10.0,240087.0,3597.0
50,10.0,108320.0,202.0
50,10.0,194841.0,3225.0
50,10.0,238290.0,3888.0
50,10.0,46423.0,286.0
50,10.0,232482.0,1427.0
50,10.0,124856.0,1089.0
50,10.0,416307.0,2376.0
50,10.0,274513.0,1184.0
50,10.0,19703.0,34.0
50,10.0,652.0,1.0
50,10.0,144319.0,774.0
50,10.0,179943.0,974.0
50,10.0,114122.0,297.0
50,10.0,70070.0,362.0
50,10.0,126.0,0.0
50,10.0,56663.0,175.0
