,time,z_minus,z_plus
50,10.0,2479675.0,23354.0
50,10.0,2479675.0,23354.0
50,10.0,1006821.0,9829.0
50,10.0,2054082.0,20881.0
50,10.0,773714.0,7806.0
50,10.0,733339.0,8320.0
50,10.0,4550807.0,42635.0
50,10.0,5095866.0,48324.0
50,10.0,691218.0,6796.0
50,10.0,2481007.0,24624.0
50,10.0,5729922.0,54183.0
50,10.0,3907646.0,46002.0
50,10.0,2761408.0,26094.0
50,10.0,105185.0,1011.0
50,10.0,9735228.0,96654.0
50,10.0,910605.0,9148.0
50,10.0,2525857.0,23613.0
50,10.0,1449093.0,12194.0
50,10.0,656817.0,6989.0
50,10.0,470108.0,4651.0
50,10.0,2366629.0,23751.0
50,10.0,6261021.0,62154.0
50,10.0,2965567.0,27020.0
50,10.0,4341794.0,43536.0
50,10.0,4140438.0,38884.0
50,10.0,1802477.0,19416.0
50,10.0,555000.0,5802.0
50,10.0,1369032.0,12515.0
50,10.0,3038848.0,27403.0
50,10.0,2132719.0,20186.0
50,10.0,524483.0,4458.0
50,10.0,711927.0,7060.0
50,10.0,243084.0,2390.0
50,10.0,6146018.0,56850.0
50,10.0,7059623.0,76477.0
50,10.0,1997556.0,18293.0
50,10.0,2678807.0,24577.0
50,10.0,1689240.0,15850.0
50,10.0,222795.0,2020.0
50,10.0,438359.0,3661.0
50,10.0,367129.0,3924.0
50,10.0,274929.0,2196.0
50,10.0,415695.0,4738.0
50,10.0,10671154.0,112220.0
50,10.0,5854589.0,71628.0
50,10.0,2722325.0,28088.0
50,10.0,1539339.0,14425.0
50,10.0,2209979.0,25726.0
50,10.0,310167.0,3457.0
50,10.0,7706326.0,76465.0
50,10.0,15135779.0,148723.0
50,10.0,48477.0,320.0
50,10.0,4610527.0,44977.0
50,10.0,1616796.0,15574.0
50,10.0,813590.0,7451.0
50,10.0,226397.0,2254.0
50,10.0,1744693.0,18600.0
50,10.0,1312222.0,12009.0
50,10.0,1627430.0,15493.0
50,10.0,920674.0,8858.0
50,10.0,1473669.0,12911.0
50,10.0,1797778.0,16146.0
50,10.0,1686926.0,18470.0
50,10.0,2737807.0,27164.0
50,10.0,610938.0,5681.0
50,10.0,6527622.0,73231.0
50,10.0,814052.0,7561.0
50,10.0,3153366.0,30507.0
50,10.0,1206875.0,11035.0
50,10.0,5129359.0,54988.0
50,10.0,1626011.0,15059.0
50,10.0,10454080.0,101329.0
50,10.0,792446.0,7803.0
50,10.0,417220.0,4337.0
50,10.0,470336.0,4147.0
50,10.0,618774.0,5367.0
50,10.0,640888.0,6485.0
50,10.0,638846.0,5557.0
50,10.0,5429275.0,53494.0
50,10.0,733393.0,8993.0
50,10.0,4025846.0,42366.0
50,10.0,1357625.0,12143.0
50,10.0,3287384.0,33046.0
50,10.0,1246133.0,11238.0
50,10.0,881870.0,10395.0
50,10.0,2947947.0,28441.0
50,10.0,1141152.0,13103.0
50,10.0,9265030.0,86863.0
50,10.0,327610.0,3369.0
50,10.0,9484235.0,96937.0
50,10.0,2572405.0,26072.0
50,10.0,1366779.0,14239.0
50,10.0,5220649.0,48762.0
50,10.0,86987.0,779.0
50,10.0,2319597.0,22782.0
50,10.0,4823109.0,45033.0
50,10.0,1526016.0,15453.0
50,10.0,2723451.0,26208.0
50,10.0,1937551.0,18942.0
50,10.0,2940684.0,27910.0
50,10.0,541693.0,4625.0
50,10.0,570723.0,5140.0
50,10.0,1774783.0,16232.0
50,10.0,1889429.0,17542.0
50,10.0,324786.0,2764.0
50,10.0,5616872.0,56452.0
50,10.0,2280545.0,23546.0
50,10.0,16365.0,144.0
50,10.0,9203014.0,85715.0
50,10.0,2936538.0,30859.0
50,10.0,584044.0,6306.0
50,10.0,334070.0,3009.0
50,10.0,1279711.0,11826.0
50,10.0,2754842.0,26128.0
50,10.0,314361.0,2596.0
50,10.0,5469571.0,51892.0
50,10.0,814455.0,7012.0
50,10.0,1754321.0,16648.0
50,10.0,7729451.0,75108.0
50,10.0,740400.0,7730.0
50,10.0,1027961.0,9738.0
50,10.0,3022458.0,30090.0
50,10.0,1957618.0,19257.0
50,10.0,169894.0,1657.0
50,10.0,2748616.0,26089.0
50,10.0,54597.0,554.0
50,10.0,1669855.0,16476.0
50,10.0,1223505.0,11242.0
50,10.0,2067009.0,19192.0
50,10.0,606699.0,4995.0
50,10.0,3921861.0,37987.0
50,10.0,314949.0,2889.0
50,10.0,947984.0,9156.0
50,10.0,3296497.0,31970.0
50,10.0,16520149.0,163211.0
50,10.0,709536.0,7645.0
50,10.0,6007642.0,59839.0
50,10.0,1675234.0,15389.0
50,10.0,961874.0,11976.0
50,10.0,872310.0,7521.0
50,10.0,4141428.0,38708.0
50,10.0,2295009.0,22017.0
50,10.0,2774579.0,26640.0
50,10.0,7938885.0,78009.0
50,10.0,1435954.0,18151.0
50,10.0,7016544.0,71152.0
50,10.0,5886699.0,58644.0
50,10.0,7658884.0,76641.0
50,10.0,765953.0,7727.0
50,10.0,496463.0,4918.0
50,10.0,1850682.0,16614.0
50,10.0,1047900.0,9740.0
50,10.0,3261169.0,29309.0
50,10.0,826338.0,7974.0
50,10.0,6274479.0,61735.0
50,10.0,2893570.0,29983.0
50,10.0,557174.0,5545.0
50,10.0,1758390.0,17295.0
50,10.0,4914448.0,46006.0
50,10.0,3406889.0,33163.0
50,10.0,5705434.0,56430.0
50,10.0,5823166.0,57880.0
50,10.0,2805037.0,27456.0
50,10.0,133945.0,1530.0
50,10.0,11606761.0,125575.0
50,10.0,6345264.0,60726.0
50,10.0,1332821.0,12545.0
50,10.0,1525069.0,13648.0
50,10.0,389859.0,3505.0
50,10.0,6858360.0,68932.0
50,10.0,2384078.0,21409.0
50,10.0,808250.0,8063.0
50,10.0,7737128.0,71988.0
50,10.0,252213.0,2316.0
50,10.0,2835781.0,32837.0
50,10.0,2162284.0,22105.0
50,10.0,11699586.0,112788.0
50,10.0,2478331.0,24587.0
50,10.0,4794841.0,47821.0
50,10.0,4731214.0,43951.0
50,10.0,2221500.0,20791.0
50,10.0,6348711.0,62879.0
50,10.0,2448037.0,25618.0
50,10.0,2611970.0,23892.0
50,10.0,438893.0,4522.0
50,10.0,3159318.0,31255.0
50,10.0,3780286.0,37203.0
50,10.0,4249508.0,40575.0
50,10.0,205954.0,2176.0
50,10.0,8638942.0,87668.0
50,10.0,479521.0,4703.0
50,10.0,4719543.0,43872.0
50,10.0,8039538.0,76764.0
50,10.0,1122069.0,13413.0
50,10.0,798140.0,6745.0
50,10.0,2595236.0,26612.0
50,10.0,4799502.0,44636.0
50,10.0,6915268.0,71295.0
50,10.0,1251178.0,11428.0
50,10.0,2902390.0,28621.0
50,10.0,1755137.0,22385.0
50,10.0,4590869.0,45836.0
50,10.0,629155.0,5962.0
50,10.0,1557668.0,26095.0
50,10.0,2717229.0,28016.0
50,10.0,20123.0,294.0
50,10.0,3904618.0,38650.0
50,10.0,712488.0,6933.0
50,10.0,3279631.0,31349.0
50,10.0,4904639.0,45958.0
50,10.0,2869377.0,28862.0
50,10.0,442952.0,3829.0
50,10.0,7252994.0,67838.0
50,10.0,878556.0,7989.0
50,10.0,13902142.0,136973.0
50,10.0,2962818.0,32528.0
50,10.0,6961227.0,95860.0
50,10.0,3000909.0,29657.0
50,10.0,2981599.0,28334.0
50,10.0,1573374.0,14478.0
50,10.0,589906.0,5652.0
50,10.0,1528367.0,14458.0
50,10.0,1915485.0,18388.0
50,10.0,27207952.0,268002.0
50,10.0,7267221.0,67970.0
50,10.0,3634277.0,43448.0
50,10.0,1088785.0,9936.0
50,10.0,1830560.0,20767.0
50,10.0,690172.0,5965.0
50,10.0,1052016.0,9597.0
50,10.0,9178633.0,90409.0
50,10.0,6127521.0,60641.0
50,10.0,12130846.0,116974.0
50,10.0,10399270.0,132703.0
50,10.0,4329168.0,46775.0
50,10.0,5489572.0,51251.0
50,10.0,1058704.0,9390.0
50,10.0,3429146.0,32937.0
