,time,z_minus,z_plus
80,8.0,2874.0,24.0
80,8.0,2874.0,24.0
80,8.0,1752.0,7.0
80,8.0,12809.0,240.0
80,8.0,4995.0,105.0
80,8.0,16383.0,1062.0
80,8.0,9760.0,307.0
80,8.0,19553.0,2700.0
80,8.0,834.0,6.0
80,8.0,13230.0,511.0
80,8.0,4883.0,52.0
80,8.0,15991.0,421.0
80,8.0,60253.0,1404.0
80,8.0,1773.0,15.0
80,8.0,23625.0,1704.0
80,8.0,7317.0,285.0
80,8.0,11624.0,610.0
80,8.0,3268.0,82.0
80,8.0,21007.0,470.0
80,8.0,27939.0,822.0
80,8.0,3798.0,57.0
80,8.0,886.0,7.0
80,8.0,7880.0,426.0
80,8.0,10030.0,499.0
80,8.0,8146.0,236.0
80,8.0,12743.0,121.0
80,8.0,16276.0,215.0
80,8.0,16334.0,460.0
80,8.0,12586.0,392.0
80,8.0,688.0,6.0
80,8.0,44741.0,1192.0
80,8.0,4871.0,60.0
80,8.0,2754.0,33.0
80,8.0,3710.0,38.0
80,8.0,10387.0,2263.0
80,8.0,9274.0,458.0
80,8.0,13228.0,405.0
80,8.0,22534.0,798.0
80,8.0,23539.0,777.0
80,8.0,8347.0,155.0
80,8.0,17772.0,504.0
80,8.0,3256.0,33.0
80,8.0,1037.0,9.0
80,8.0,15458.0,1243.0
80,8.0,20938.0,444.0
80,8.0,17690.0,424.0
80,8.0,8235.0,120.0
80,8.0,2114.0,25.0
80,8.0,28129.0,416.0
80,8.0,25885.0,687.0
80,8.0,2126.0,15.0
80,8.0,27659.0,451.0
80,8.0,9692.0,173.0
80,8.0,4718.0,103.0
80,8.0,3114.0,83.0
80,8.0,2046.0,10.0
80,8.0,6361.0,79.0
80,8.0,12969.0,418.0
80,8.0,6850.0,246.0
80,8.0,6238.0,276.0
80,8.0,319.0,4.0
80,8.0,4195.0,49.0
80,8.0,9018.0,66.0
80,8.0,2340.0,32.0
80,8.0,30144.0,1728.0
80,8.0,4803.0,92.0
80,8.0,19560.0,606.0
80,8.0,2636.0,67.0
80,8.0,12206.0,266.0
80,8.0,2121.0,22.0
80,8.0,57224.0,2102.0
80,8.0,16937.0,366.0
80,8.0,20971.0,319.0
80,8.0,3804.0,50.0
80,8.0,4331.0,114.0
80,8.0,15927.0,318.0
80,8.0,22137.0,513.0
80,8.0,6959.0,122.0
80,8.0,10685.0,205.0
80,8.0,25237.0,598.0
80,8.0,15395.0,596.0
80,8.0,6933.0,114.0
80,8.0,7689.0,135.0
80,8.0,725.0,12.0
80,8.0,1822.0,132.0
80,8.0,5156.0,48.0
80,8.0,24236.0,1122.0
80,8.0,16098.0,291.0
80,8.0,3304.0,125.0
80,8.0,11203.0,328.0
80,8.0,3694.0,53.0
80,8.0,4270.0,84.0
80,8.0,6053.0,193.0
80,8.0,12542.0,207.0
80,8.0,7353.0,170.0
80,8.0,241.0,0.0
80,8.0,23787.0,306.0
80,8.0,20349.0,488.0
80,8.0,77.0,0.0
80,8.0,24630.0,403.0
80,8.0,1382.0,30.0
80,8.0,5058.0,135.0
80,8.0,29094.0,19607.0
80,8.0,25437.0,424.0
80,8.0,652.0,3.0
80,8.0,2256.0,25.0
80,8.0,7607.0,104.0
80,8.0,8696.0,6165.0
80,8.0,8126.0,98.0
80,8.0,2494.0,32.0
80,8.0,9360.0,158.0
80,8.0,14614.0,256.0
80,8.0,9119.0,107.0
80,8.0,5978.0,406.0
80,8.0,5114.0,236.0
80,8.0,528.0,1.0
80,8.0,6460.0,2083.0
80,8.0,3436.0,50.0
80,8.0,4161.0,193.0
80,8.0,12873.0,264.0
80,8.0,33906.0,1021.0
80,8.0,29743.0,655.0
80,8.0,15373.0,217.0
80,8.0,6821.0,89.0
80,8.0,11505.0,174.0
80,8.0,30652.0,540.0
80,8.0,30988.0,712.0
80,8.0,32670.0,764.0
80,8.0,9000.0,512.0
80,8.0,19338.0,409.0
80,8.0,24756.0,1006.0
80,8.0,2453.0,242.0
80,8.0,58938.0,1416.0
80,8.0,52659.0,2262.0
80,8.0,5869.0,224.0
80,8.0,2326.0,504.0
80,8.0,250.0,4.0
80,8.0,14482.0,139.0
80,8.0,25233.0,478.0
80,8.0,28551.0,1319.0
80,8.0,2621.0,40.0
80,8.0,925.0,16.0
80,8.0,5587.0,71.0
80,8.0,15327.0,446.0
80,8.0,4828.0,105.0
80,8.0,4145.0,28.0
80,8.0,733.0,28.0
80,8.0,3469.0,81.0
80,8.0,19189.0,671.0
80,8.0,12722.0,235.0
80,8.0,35989.0,1364.0
80,8.0,10514.0,208.0
80,8.0,11056.0,174.0
80,8.0,44709.0,1621.0
80,8.0,4956.0,120.0
80,8.0,49079.0,16674.0
80,8.0,75047.0,1324.0
80,8.0,76843.0,2992.0
80,8.0,3830.0,20.0
80,8.0,333.0,1.0
80,8.0,14608.0,630.0
80,8.0,15109.0,463.0
80,8.0,1218.0,16.0
80,8.0,2639.0,31.0
80,8.0,6897.0,92.0
80,8.0,20310.0,344.0
80,8.0,8065.0,601.0
80,8.0,656.0,3.0
80,8.0,57768.0,1154.0
80,8.0,44328.0,672.0
80,8.0,26817.0,572.0
80,8.0,1919.0,12.0
80,8.0,4241.0,136.0
80,8.0,3524.0,80.0
80,8.0,14968.0,180.0
80,8.0,698.0,10.0
80,8.0,6813.0,110.0
80,8.0,404.0,12.0
80,8.0,15370.0,415.0
