,time,z_minus,z_plus
80,12.0,1371315.0,6986.0
80,12.0,1371315.0,6986.0
80,12.0,578925.0,2532.0
80,12.0,2996281.0,25394.0
80,12.0,1875280.0,13338.0
80,12.0,671942.0,4152.0
80,12.0,1549342.0,24518.0
80,12.0,194067.0,744.0
80,12.0,1393272.0,11140.0
80,12.0,4836462.0,32740.0
80,12.0,1808812.0,19423.0
80,12.0,1512401.0,14683.0
80,12.0,339499.0,2930.0
80,12.0,448040.0,2162.0
80,12.0,2619985.0,14595.0
80,12.0,7463976.0,63373.0
80,12.0,811195.0,3872.0
80,12.0,2117786.0,11841.0
80,12.0,1460279.0,13205.0
80,12.0,4140691.0,28293.0
80,12.0,346925.0,1691.0
80,12.0,1134023.0,12481.0
80,12.0,2744611.0,19127.0
80,12.0,727547.0,5267.0
80,12.0,2218990.0,16489.0
80,12.0,4681554.0,49132.0
80,12.0,2175151.0,15664.0
80,12.0,906302.0,9987.0
80,12.0,7428551.0,100969.0
80,12.0,342548.0,1268.0
80,12.0,1901606.0,12153.0
80,12.0,365917.0,1593.0
80,12.0,324328.0,1865.0
80,12.0,2327084.0,15303.0
80,12.0,3552720.0,25261.0
80,12.0,2861524.0,23790.0
80,12.0,1319909.0,9403.0
80,12.0,110727.0,577.0
80,12.0,2239686.0,13614.0
80,12.0,835336.0,3808.0
80,12.0,1613424.0,14151.0
80,12.0,1152005.0,5748.0
80,12.0,545134.0,8140.0
80,12.0,1139826.0,16999.0
80,12.0,1216052.0,4801.0
80,12.0,653547.0,7636.0
80,12.0,1926920.0,16517.0
80,12.0,1603586.0,10457.0
80,12.0,710334.0,3596.0
80,12.0,1037426.0,6493.0
80,12.0,5553832.0,35545.0
80,12.0,411880.0,2933.0
80,12.0,169286.0,3736.0
80,12.0,2254221.0,13111.0
80,12.0,2041797.0,13762.0
80,12.0,3819588.0,29026.0
80,12.0,653954.0,6866.0
80,12.0,3193108.0,104943.0
80,12.0,387699.0,1567.0
80,12.0,1999337.0,10760.0
80,12.0,1535332.0,8279.0
80,12.0,3874094.0,138681.0
80,12.0,3055577.0,25624.0
80,12.0,1242207.0,7506.0
80,12.0,617284.0,3068.0
80,12.0,3080361.0,24502.0
80,12.0,6232554.0,444979.0
80,12.0,280272.0,2140.0
80,12.0,2910994.0,23324.0
80,12.0,367187.0,5560.0
80,12.0,696058.0,4448.0
80,12.0,3667036.0,32897.0
80,12.0,2268339.0,18850.0
80,12.0,1209239.0,97965.0
80,12.0,664646.0,7559.0
80,12.0,3327006.0,23923.0
80,12.0,72065.0,258.0
80,12.0,1075940.0,7518.0
80,12.0,4903048.0,30994.0
80,12.0,1056691.0,16743.0
80,12.0,1616474.0,11275.0
80,12.0,4667314.0,35579.0
80,12.0,280745.0,1146.0
80,12.0,1060762.0,13699.0
80,12.0,3328386.0,26618.0
80,12.0,2784747.0,16957.0
80,12.0,1160139.0,7558.0
80,12.0,7727458.0,70900.0
80,12.0,2339398.0,104379.0
80,12.0,256339.0,1240.0
80,12.0,995409.0,4009.0
80,12.0,5131149.0,186096.0
80,12.0,4396288.0,60979.0
