,time,z_minus,z_plus
80,8.0,589.0,0.0
80,8.0,589.0,0.0
80,8.0,240.0,6.0
80,8.0,54452.0,206.0
80,8.0,4591.0,11.0
80,8.0,604.0,0.0
80,8.0,9425.0,3.0
80,8.0,51826.0,118.0
80,8.0,18652.0,30.0
80,8.0,22329.0,53.0
80,8.0,12570.0,136.0
80,8.0,15245.0,799.0
80,8.0,4901.0,17.0
80,8.0,50.0,0.0
80,8.0,16306.0,107.0
80,8.0,5850.0,8.0
80,8.0,4082.0,11.0
80,8.0,11019.0,18.0
80,8.0,6090.0,23.0
80,8.0,5305.0,13.0
80,8.0,14697.0,52.0
80,8.0,9962.0,13.0
80,8.0,25018.0,49.0
80,8.0,8295.0,26.0
80,8.0,17128.0,46.0
80,8.0,21001.0,94.0
80,8.0,11780.0,48.0
80,8.0,90354.0,1689.0
80,8.0,5440.0,5.0
80,8.0,6962.0,5.0
80,8.0,5142.0,40.0
80,8.0,2807.0,17.0
80,8.0,21417.0,43.0
80,8.0,11633.0,274.0
80,8.0,10658.0,329.0
80,8.0,19606.0,49.0
80,8.0,26752.0,78.0
80,8.0,2173.0,0.0
80,8.0,24401.0,103.0
80,8.0,195.0,1.0
80,8.0,423.0,0.0
80,8.0,7983.0,29.0
80,8.0,24935.0,42.0
80,8.0,6874.0,13.0
80,8.0,14739.0,24.0
80,8.0,3610.0,20.0
80,8.0,20958.0,230.0
80,8.0,14213.0,9.0
80,8.0,49250.0,3141.0
80,8.0,20699.0,75.0
80,8.0,35093.0,102.0
80,8.0,2882.0,6.0
80,8.0,15204.0,43.0
80,8.0,5197.0,12.0
80,8.0,3939.0,16.0
80,8.0,1524.0,2.0
80,8.0,4287.0,2.0
80,8.0,22141.0,54.0
80,8.0,66108.0,388.0
80,8.0,261.0,0.0
80,8.0,4844.0,55.0
80,8.0,5227.0,9.0
80,8.0,11859.0,45.0
80,8.0,8681.0,14.0
80,8.0,92.0,0.0
80,8.0,6068.0,24.0
80,8.0,16461.0,71.0
80,8.0,5364.0,20.0
80,8.0,5563.0,14.0
80,8.0,3406.0,8.0
80,8.0,4396.0,2.0
80,8.0,4703.0,8.0
80,8.0,37132.0,177.0
80,8.0,7965.0,7.0
80,8.0,22066.0,77.0
80,8.0,2335.0,9.0
80,8.0,2138.0,3.0
80,8.0,3685.0,7.0
80,8.0,27104.0,65.0
80,8.0,14381.0,73.0
80,8.0,15827.0,32.0
80,8.0,11536.0,122.0
80,8.0,83343.0,1250.0
80,8.0,8903.0,23.0
80,8.0,26029.0,127.0
80,8.0,38177.0,136.0
80,8.0,12992.0,95.0
80,8.0,8568.0,8.0
80,8.0,23207.0,124.0
80,8.0,6046.0,46.0
80,8.0,19811.0,25.0
80,8.0,5701.0,3.0
80,8.0,67282.0,263.0
80,8.0,10205.0,7.0
80,8.0,11164.0,148.0
80,8.0,7788.0,43.0
80,8.0,2198.0,0.0
80,8.0,11104.0,26.0
80,8.0,14345.0,111.0
80,8.0,5771.0,5.0
80,8.0,12310.0,24.0
80,8.0,14404.0,221.0
80,8.0,24904.0,139.0
80,8.0,3138.0,14.0
80,8.0,10540.0,11.0
80,8.0,8657.0,31.0
80,8.0,42941.0,243.0
80,8.0,4628.0,15.0
80,8.0,24277.0,71.0
80,8.0,4347.0,13.0
80,8.0,5726.0,14.0
80,8.0,7333.0,162.0
80,8.0,35048.0,376.0
80,8.0,19023.0,500.0
80,8.0,35244.0,69.0
80,8.0,1606.0,9.0
80,8.0,26815.0,65.0
80,8.0,3328.0,17.0
80,8.0,18760.0,133.0
80,8.0,5131.0,26.0
80,8.0,953.0,0.0
80,8.0,2053.0,1.0
80,8.0,6822.0,55.0
80,8.0,42253.0,150.0
80,8.0,22791.0,27.0
80,8.0,27481.0,106.0
80,8.0,38008.0,97.0
80,8.0,10800.0,283.0
80,8.0,17728.0,42.0
80,8.0,4928.0,5.0
80,8.0,10403.0,27.0
80,8.0,6108.0,12.0
80,8.0,2173.0,1.0
80,8.0,20219.0,61.0
80,8.0,42484.0,129.0
80,8.0,12877.0,81.0
80,8.0,4263.0,16.0
80,8.0,28768.0,143.0
80,8.0,2635.0,10.0
80,8.0,9246.0,5.0
80,8.0,13540.0,511.0
80,8.0,13016.0,64.0
80,8.0,15114.0,303.0
80,8.0,6003.0,15.0
80,8.0,4513.0,0.0
80,8.0,19533.0,52.0
80,8.0,19549.0,71.0
80,8.0,14259.0,43.0
80,8.0,19049.0,54.0
80,8.0,1882.0,0.0
80,8.0,3295.0,4.0
80,8.0,27363.0,435.0
80,8.0,19419.0,42.0
80,8.0,6906.0,86.0
80,8.0,9290.0,56.0
80,8.0,9100.0,26.0
80,8.0,16040.0,90.0
80,8.0,43037.0,147.0
80,8.0,10618.0,35.0
80,8.0,11953.0,55.0
80,8.0,806.0,0.0
80,8.0,17735.0,46.0
80,8.0,49026.0,225.0
80,8.0,6046.0,91.0
80,8.0,52077.0,218.0
80,8.0,32008.0,444.0
80,8.0,5389.0,49.0
80,8.0,316.0,0.0
80,8.0,2868.0,0.0
80,8.0,8016.0,52.0
80,8.0,11997.0,15.0
80,8.0,10177.0,7.0
80,8.0,25506.0,30.0
80,8.0,7330.0,21.0
80,8.0,3547.0,4.0
80,8.0,14459.0,15.0
80,8.0,2583.0,1.0
80,8.0,45133.0,312.0
80,8.0,8076.0,14.0
80,8.0,444.0,1.0
80,8.0,4216.0,2.0
