,time,z_minus,z_plus
80,8.0,5956.0,39.0
80,8.0,5956.0,39.0
80,8.0,4653.0,54.0
80,8.0,9680.0,5.0
80,8.0,3364.0,115.0
80,8.0,29581.0,227.0
80,8.0,3975.0,42.0
80,8.0,11319.0,96.0
80,8.0,12059.0,41.0
80,8.0,602.0,7.0
80,8.0,9769.0,8.0
80,8.0,4152.0,9.0
80,8.0,2642.0,5.0
80,8.0,16020.0,64.0
80,8.0,13254.0,68.0
80,8.0,77692.0,172.0
80,8.0,15072.0,85.0
80,8.0,13042.0,25.0
80,8.0,23779.0,253.0
80,8.0,2231.0,0.0
80,8.0,2351.0,7.0
80,8.0,9987.0,25.0
80,8.0,10842.0,15.0
80,8.0,22103.0,76.0
80,8.0,1634.0,0.0
80,8.0,5070.0,75.0
80,8.0,8575.0,3.0
80,8.0,6375.0,14.0
80,8.0,17586.0,46.0
80,8.0,7957.0,25.0
80,8.0,28762.0,270.0
80,8.0,5488.0,18421.0
80,8.0,6172.0,32.0
80,8.0,26711.0,77.0
80,8.0,2648.0,3.0
80,8.0,65799.0,183.0
80,8.0,3445.0,2.0
80,8.0,8414.0,17.0
80,8.0,956.0,4.0
80,8.0,21001.0,86.0
80,8.0,8402.0,70.0
80,8.0,2833.0,2.0
80,8.0,13213.0,2486.0
80,8.0,16472.0,54.0
80,8.0,892.0,1.0
80,8.0,1202.0,4.0
80,8.0,742.0,1.0
80,8.0,14304.0,59.0
80,8.0,4136.0,794.0
80,8.0,8275.0,47.0
80,8.0,17870.0,9.0
80,8.0,2304.0,8.0
80,8.0,2889.0,2.0
80,8.0,29175.0,104.0
80,8.0,13883.0,77.0
80,8.0,9648.0,26.0
80,8.0,1615.0,3.0
80,8.0,21150.0,59.0
80,8.0,5759.0,16.0
80,8.0,3457.0,4.0
80,8.0,56303.0,149.0
80,8.0,1717.0,70.0
80,8.0,15687.0,42.0
80,8.0,8482.0,42.0
80,8.0,1894.0,1.0
80,8.0,46954.0,164.0
80,8.0,7715.0,100.0
80,8.0,6202.0,16.0
80,8.0,8080.0,36.0
80,8.0,162.0,0.0
80,8.0,28.0,0.0
80,8.0,4575.0,0.0
80,8.0,9853.0,7.0
80,8.0,29398.0,407.0
80,8.0,1858.0,1.0
80,8.0,5497.0,0.0
80,8.0,2124.0,4.0
80,8.0,29820.0,243.0
80,8.0,294.0,0.0
80,8.0,170.0,0.0
80,8.0,3581.0,87.0
80,8.0,208.0,0.0
80,8.0,16024.0,104.0
80,8.0,19766.0,73.0
80,8.0,25468.0,146.0
80,8.0,28163.0,89.0
80,8.0,23993.0,64.0
80,8.0,35690.0,115.0
80,8.0,6519.0,10.0
80,8.0,18578.0,43.0
80,8.0,13220.0,56.0
80,8.0,6775.0,8.0
80,8.0,32497.0,112.0
80,8.0,497.0,0.0
80,8.0,4503.0,5.0
80,8.0,1974.0,0.0
80,8.0,6670.0,20.0
80,8.0,99840.0,376.0
80,8.0,37598.0,118.0
80,8.0,5599.0,20.0
80,8.0,4354.0,2.0
