,time,z_minus,z_plus
80,8.0,390322.0,7066.0
80,8.0,390322.0,7066.0
80,8.0,835242.0,15737.0
80,8.0,157123.0,3405.0
80,8.0,564896.0,13070.0
80,8.0,93932.0,1905.0
80,8.0,104170.0,2007.0
80,8.0,77004.0,1369.0
80,8.0,133073.0,3595.0
80,8.0,56050.0,1177.0
80,8.0,111099.0,2115.0
80,8.0,196271.0,3728.0
80,8.0,27270.0,445.0
80,8.0,179370.0,2894.0
80,8.0,123524.0,3334.0
80,8.0,208299.0,5111.0
80,8.0,63282.0,1089.0
80,8.0,6479.0,117.0
80,8.0,138359.0,3283.0
80,8.0,160429.0,2824.0
80,8.0,55740.0,1053.0
80,8.0,5696.0,192.0
80,8.0,111558.0,2128.0
80,8.0,15303.0,332.0
80,8.0,559353.0,9952.0
80,8.0,43717.0,694.0
80,8.0,100547.0,2399.0
80,8.0,5267.0,83.0
80,8.0,188237.0,5677.0
80,8.0,250361.0,4707.0
80,8.0,289184.0,5355.0
80,8.0,449987.0,8280.0
80,8.0,39200.0,676.0
80,8.0,174215.0,5084.0
80,8.0,137475.0,3656.0
80,8.0,91675.0,1721.0
80,8.0,1885.0,20.0
80,8.0,131434.0,2635.0
80,8.0,7305.0,133.0
80,8.0,380371.0,6989.0
80,8.0,48404.0,733.0
80,8.0,21536.0,493.0
80,8.0,160273.0,2867.0
80,8.0,5933.0,70.0
80,8.0,263530.0,5223.0
80,8.0,63948.0,1084.0
80,8.0,69554.0,1387.0
80,8.0,106982.0,1625.0
80,8.0,410348.0,8048.0
80,8.0,107925.0,2044.0
80,8.0,103527.0,1862.0
80,8.0,78916.0,1879.0
80,8.0,1125.0,17.0
80,8.0,39859.0,516.0
80,8.0,114336.0,2210.0
80,8.0,27200.0,410.0
80,8.0,75218.0,1805.0
80,8.0,39004.0,838.0
80,8.0,1970.0,7.0
80,8.0,41013.0,667.0
80,8.0,63940.0,1164.0
80,8.0,25883.0,402.0
80,8.0,658277.0,12288.0
80,8.0,48688.0,1155.0
80,8.0,206680.0,3994.0
80,8.0,254920.0,4676.0
80,8.0,202146.0,3159.0
80,8.0,40584.0,619.0
80,8.0,213593.0,4387.0
80,8.0,46181.0,1165.0
80,8.0,218931.0,3690.0
80,8.0,139775.0,2298.0
80,8.0,150898.0,2861.0
80,8.0,1760.0,43.0
80,8.0,262972.0,4892.0
80,8.0,88935.0,2756.0
80,8.0,110491.0,1879.0
80,8.0,66588.0,1110.0
80,8.0,189594.0,3714.0
80,8.0,246471.0,4597.0
80,8.0,102437.0,1936.0
80,8.0,64107.0,1010.0
80,8.0,211181.0,4004.0
80,8.0,138338.0,2324.0
80,8.0,147452.0,3027.0
80,8.0,153855.0,3253.0
80,8.0,373856.0,7992.0
80,8.0,252006.0,4401.0
80,8.0,23454.0,674.0
80,8.0,135896.0,2828.0
80,8.0,11572.0,930.0
80,8.0,3083.0,19.0
80,8.0,43117.0,950.0
80,8.0,386716.0,7392.0
80,8.0,205041.0,4076.0
80,8.0,163349.0,3228.0
80,8.0,14274.0,153.0
80,8.0,213234.0,3451.0
80,8.0,336439.0,6051.0
80,8.0,118476.0,1945.0
80,8.0,226863.0,4308.0
80,8.0,498217.0,9863.0
80,8.0,466943.0,9364.0
80,8.0,64906.0,1357.0
80,8.0,216962.0,3631.0
80,8.0,91989.0,1721.0
80,8.0,86349.0,1606.0
80,8.0,49229.0,1354.0
80,8.0,57602.0,1359.0
80,8.0,130770.0,2431.0
80,8.0,35626.0,861.0
80,8.0,75193.0,1195.0
80,8.0,11626.0,212.0
80,8.0,83931.0,1730.0
80,8.0,71822.0,1421.0
80,8.0,41910.0,578.0
80,8.0,246717.0,5064.0
80,8.0,19553.0,318.0
80,8.0,76784.0,1584.0
80,8.0,42990.0,729.0
80,8.0,77888.0,1412.0
80,8.0,241716.0,5354.0
80,8.0,104755.0,1925.0
80,8.0,16493.0,249.0
80,8.0,267889.0,5478.0
80,8.0,388206.0,8254.0
80,8.0,194730.0,3179.0
80,8.0,407961.0,7834.0
80,8.0,144377.0,2964.0
80,8.0,252982.0,5436.0
80,8.0,89566.0,1351.0
80,8.0,254134.0,4478.0
80,8.0,135899.0,2834.0
80,8.0,220721.0,5015.0
80,8.0,17909.0,263.0
80,8.0,130201.0,2274.0
80,8.0,226113.0,3675.0
80,8.0,35115.0,512.0
80,8.0,147050.0,4771.0
80,8.0,259461.0,4939.0
80,8.0,9262.0,93.0
80,8.0,85707.0,1575.0
80,8.0,181376.0,4397.0
80,8.0,117274.0,2219.0
80,8.0,14194.0,182.0
80,8.0,267857.0,8484.0
80,8.0,189784.0,3278.0
80,8.0,36216.0,571.0
80,8.0,79843.0,1217.0
80,8.0,31186.0,533.0
80,8.0,147619.0,2856.0
80,8.0,300398.0,6169.0
80,8.0,30911.0,547.0
80,8.0,129.0,2.0
80,8.0,345134.0,6426.0
80,8.0,164937.0,2820.0
80,8.0,7892.0,189.0
80,8.0,246357.0,4423.0
80,8.0,108160.0,2380.0
80,8.0,449307.0,9590.0
80,8.0,406879.0,8844.0
80,8.0,349760.0,7446.0
80,8.0,289502.0,5267.0
80,8.0,360874.0,6620.0
80,8.0,12078.0,270.0
80,8.0,87253.0,1376.0
80,8.0,75377.0,1355.0
80,8.0,206029.0,4851.0
80,8.0,319472.0,5806.0
80,8.0,65789.0,1654.0
80,8.0,182194.0,3283.0
80,8.0,55192.0,1282.0
80,8.0,68329.0,1509.0
80,8.0,319381.0,6268.0
80,8.0,73049.0,1647.0
80,8.0,18972.0,271.0
80,8.0,44546.0,777.0
80,8.0,55462.0,1103.0
80,8.0,180942.0,3137.0
80,8.0,60690.0,1199.0
80,8.0,61555.0,1153.0
80,8.0,52729.0,990.0
80,8.0,281137.0,5361.0
80,8.0,358208.0,6159.0
80,8.0,39513.0,670.0
80,8.0,317663.0,5548.0
80,8.0,85450.0,1455.0
80,8.0,35094.0,639.0
80,8.0,46938.0,1741.0
80,8.0,257260.0,4535.0
80,8.0,873201.0,16210.0
80,8.0,66817.0,1017.0
80,8.0,155758.0,2720.0
80,8.0,280087.0,5571.0
80,8.0,474861.0,8195.0
80,8.0,466973.0,8649.0
80,8.0,219031.0,4467.0
80,8.0,34178.0,586.0
80,8.0,48502.0,988.0
80,8.0,277891.0,5301.0
80,8.0,91639.0,2043.0
80,8.0,528299.0,9724.0
80,8.0,12129.0,113.0
80,8.0,38413.0,910.0
80,8.0,43614.0,912.0
80,8.0,51548.0,864.0
80,8.0,252790.0,4396.0
80,8.0,22965.0,336.0
80,8.0,33659.0,515.0
80,8.0,354320.0,6821.0
80,8.0,36879.0,529.0
80,8.0,11405.0,209.0
80,8.0,128185.0,2338.0
80,8.0,210587.0,4642.0
80,8.0,365605.0,6678.0
80,8.0,391513.0,9347.0
80,8.0,412801.0,7519.0
80,8.0,64730.0,1530.0
80,8.0,7559.0,112.0
80,8.0,54650.0,729.0
80,8.0,67664.0,1307.0
80,8.0,101213.0,2034.0
80,8.0,67490.0,1869.0
80,8.0,109689.0,1995.0
80,8.0,200558.0,3686.0
80,8.0,414765.0,8421.0
80,8.0,248808.0,4678.0
80,8.0,20837.0,346.0
80,8.0,171302.0,8385.0
80,8.0,4963.0,68.0
80,8.0,407.0,1.0
80,8.0,325102.0,5701.0
80,8.0,20082.0,433.0
80,8.0,82361.0,1564.0
80,8.0,45548.0,704.0
80,8.0,8987.0,247.0
80,8.0,515948.0,10481.0
80,8.0,92887.0,1703.0
80,8.0,360589.0,7998.0
80,8.0,223335.0,4938.0
80,8.0,143135.0,2738.0
80,8.0,50516.0,872.0
80,8.0,21194.0,341.0
80,8.0,252295.0,5925.0
80,8.0,14002.0,216.0
80,8.0,338156.0,5980.0
80,8.0,146415.0,3236.0
80,8.0,114565.0,1924.0
80,8.0,224624.0,4558.0
80,8.0,289480.0,5216.0
80,8.0,237655.0,4824.0
80,8.0,23274.0,320.0
80,8.0,936.0,14.0
80,8.0,645739.0,16173.0
80,8.0,3378.0,73.0
80,8.0,10625.0,275.0
80,8.0,143702.0,2277.0
80,8.0,38471.0,635.0
80,8.0,1588.0,18.0
80,8.0,282364.0,5247.0
80,8.0,149159.0,3630.0
80,8.0,22073.0,629.0
80,8.0,47378.0,1253.0
80,8.0,417791.0,10232.0
80,8.0,313229.0,5430.0
80,8.0,1626.0,37.0
80,8.0,139534.0,2777.0
80,8.0,342785.0,6053.0
80,8.0,130483.0,2177.0
80,8.0,70192.0,1441.0
80,8.0,295622.0,4833.0
80,8.0,102564.0,1740.0
80,8.0,343366.0,7107.0
80,8.0,79295.0,1449.0
80,8.0,83757.0,1588.0
80,8.0,63321.0,1307.0
80,8.0,363755.0,6617.0
80,8.0,47792.0,896.0
80,8.0,87570.0,1488.0
80,8.0,344.0,2.0
80,8.0,200792.0,4650.0
80,8.0,252378.0,4906.0
80,8.0,239332.0,4188.0
80,8.0,128188.0,4130.0
80,8.0,217535.0,5004.0
80,8.0,326297.0,6003.0
80,8.0,104446.0,1615.0
80,8.0,40363.0,2355.0
80,8.0,8647.0,124.0
80,8.0,15135.0,257.0
80,8.0,16323.0,219.0
80,8.0,350636.0,7987.0
80,8.0,70095.0,1416.0
80,8.0,5945.0,65.0
80,8.0,143444.0,2755.0
80,8.0,294635.0,5663.0
80,8.0,35851.0,499.0
80,8.0,207264.0,4006.0
80,8.0,151228.0,2663.0
80,8.0,108729.0,2470.0
80,8.0,199305.0,3724.0
80,8.0,6633.0,159.0
80,8.0,207570.0,3915.0
80,8.0,274907.0,4952.0
80,8.0,33057.0,516.0
80,8.0,73144.0,1136.0
80,8.0,193115.0,3551.0
80,8.0,231187.0,3831.0
80,8.0,57704.0,1100.0
80,8.0,277924.0,5505.0
80,8.0,364349.0,8600.0
80,8.0,216369.0,4159.0
80,8.0,528257.0,11960.0
80,8.0,54888.0,1083.0
80,8.0,67915.0,1321.0
80,8.0,154633.0,2745.0
80,8.0,173295.0,3125.0
80,8.0,90222.0,1552.0
80,8.0,52520.0,1750.0
80,8.0,6432.0,67.0
80,8.0,111785.0,2253.0
80,8.0,215406.0,3637.0
80,8.0,32009.0,589.0
80,8.0,96763.0,1667.0
80,8.0,363196.0,6557.0
80,8.0,168408.0,3256.0
80,8.0,269880.0,6284.0
80,8.0,22807.0,294.0
80,8.0,82098.0,1455.0
80,8.0,130915.0,2433.0
80,8.0,38273.0,604.0
80,8.0,15892.0,308.0
80,8.0,266289.0,4705.0
80,8.0,47014.0,1040.0
80,8.0,31012.0,548.0
80,8.0,24490.0,434.0
80,8.0,132635.0,2672.0
80,8.0,457576.0,9232.0
80,8.0,2712.0,68.0
80,8.0,132132.0,5000.0
80,8.0,47842.0,793.0
80,8.0,58863.0,1437.0
80,8.0,14766.0,276.0
80,8.0,360393.0,6636.0
80,8.0,325873.0,6270.0
80,8.0,82488.0,1463.0
80,8.0,194958.0,3840.0
80,8.0,276491.0,6389.0
80,8.0,68904.0,1185.0
80,8.0,280527.0,6059.0
80,8.0,41160.0,1013.0
80,8.0,192376.0,3983.0
80,8.0,98486.0,1719.0
80,8.0,46234.0,851.0
80,8.0,226273.0,4344.0
80,8.0,90419.0,1580.0
80,8.0,42859.0,820.0
80,8.0,178352.0,3292.0
80,8.0,196224.0,3496.0
80,8.0,408178.0,8838.0
80,8.0,59580.0,874.0
80,8.0,3321.0,39.0
80,8.0,140968.0,2386.0
80,8.0,436796.0,8623.0
80,8.0,172257.0,3188.0
80,8.0,82695.0,1423.0
80,8.0,59803.0,1083.0
80,8.0,17456.0,269.0
80,8.0,147992.0,2659.0
80,8.0,403099.0,8057.0
80,8.0,501750.0,9150.0
80,8.0,29043.0,594.0
80,8.0,88275.0,1852.0
80,8.0,20970.0,267.0
80,8.0,741638.0,14598.0
80,8.0,316646.0,6923.0
80,8.0,80930.0,1572.0
80,8.0,70275.0,1328.0
80,8.0,324704.0,5466.0
80,8.0,193814.0,3794.0
80,8.0,88223.0,1688.0
80,8.0,132966.0,2992.0
80,8.0,61488.0,1057.0
80,8.0,256165.0,6005.0
80,8.0,438129.0,8553.0
80,8.0,52244.0,1819.0
80,8.0,17151.0,250.0
80,8.0,133978.0,2202.0
80,8.0,780936.0,13543.0
80,8.0,13569.0,947.0
80,8.0,10224.0,122.0
80,8.0,419235.0,7835.0
80,8.0,356080.0,6129.0
80,8.0,82965.0,2406.0
80,8.0,165866.0,3239.0
80,8.0,59484.0,1429.0
80,8.0,13317.0,136.0
80,8.0,186275.0,3386.0
80,8.0,1255.0,10.0
80,8.0,13232.0,294.0
80,8.0,103525.0,1958.0
80,8.0,380256.0,8256.0
80,8.0,91214.0,1870.0
80,8.0,197736.0,4407.0
80,8.0,106251.0,1776.0
80,8.0,228706.0,4811.0
80,8.0,223726.0,4250.0
80,8.0,19658.0,404.0
80,8.0,311509.0,5751.0
80,8.0,17447.0,285.0
80,8.0,72637.0,1024.0
80,8.0,208006.0,4325.0
80,8.0,38924.0,730.0
80,8.0,275719.0,4891.0
80,8.0,117069.0,2255.0
80,8.0,145919.0,2392.0
80,8.0,53523.0,897.0
80,8.0,9976.0,198.0
80,8.0,36303.0,700.0
80,8.0,127638.0,2398.0
80,8.0,1295.0,31.0
80,8.0,127870.0,2234.0
80,8.0,257392.0,4479.0
80,8.0,632865.0,11388.0
80,8.0,130195.0,2649.0
80,8.0,134540.0,3085.0
80,8.0,50802.0,944.0
80,8.0,27956.0,584.0
80,8.0,190591.0,4001.0
80,8.0,167929.0,3212.0
80,8.0,355060.0,7167.0
80,8.0,270280.0,4889.0
80,8.0,190881.0,3750.0
80,8.0,106235.0,2348.0
80,8.0,172857.0,3316.0
80,8.0,44558.0,877.0
80,8.0,53631.0,1028.0
80,8.0,86812.0,1563.0
80,8.0,407136.0,6892.0
80,8.0,184179.0,3764.0
80,8.0,363722.0,6287.0
80,8.0,84469.0,1394.0
80,8.0,377207.0,7473.0
80,8.0,17062.0,189.0
80,8.0,403313.0,8250.0
80,8.0,716139.0,15865.0
80,8.0,246213.0,5025.0
80,8.0,109923.0,1968.0
80,8.0,3085.0,51.0
80,8.0,195101.0,3473.0
80,8.0,426506.0,8206.0
80,8.0,17542.0,404.0
80,8.0,113077.0,1981.0
80,8.0,53500.0,1159.0
80,8.0,111741.0,2152.0
80,8.0,511229.0,10271.0
80,8.0,72243.0,1594.0
80,8.0,82149.0,1644.0
80,8.0,234661.0,3875.0
80,8.0,4217.0,148.0
80,8.0,32656.0,850.0
80,8.0,298713.0,5541.0
80,8.0,23687.0,363.0
80,8.0,46854.0,653.0
80,8.0,230003.0,4572.0
80,8.0,218073.0,4776.0
80,8.0,8524.0,149.0
80,8.0,45520.0,866.0
80,8.0,352121.0,6276.0
80,8.0,167758.0,4191.0
80,8.0,11348.0,140.0
80,8.0,536757.0,11262.0
80,8.0,76534.0,1327.0
80,8.0,197020.0,3697.0
80,8.0,91151.0,1364.0
80,8.0,2568.0,19.0
80,8.0,40521.0,650.0
80,8.0,475632.0,8591.0
80,8.0,109998.0,2121.0
80,8.0,100271.0,1881.0
80,8.0,211755.0,4378.0
80,8.0,44702.0,1136.0
80,8.0,35908.0,758.0
80,8.0,123694.0,2930.0
80,8.0,164753.0,3139.0
80,8.0,248797.0,4902.0
80,8.0,366475.0,7278.0
80,8.0,26251.0,549.0
80,8.0,137573.0,2981.0
80,8.0,20066.0,358.0
80,8.0,22593.0,417.0
