time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1273.0,144.0
0.4,1540.0,189.0
0.6,1918.0,257.0
0.8,2334.0,347.0
1.0,2843.0,473.0
1.2,3452.0,654.0
1.4,4211.0,882.0
1.6,5136.0,1195.0
1.8,6285.0,1617.0
2.0,7709.0,2181.0
2.2,9376.0,2935.0
2.4,11457.0,3973.0
2.6,13959.0,5334.0
2.8,17092.0,7234.0
3.0,20825.0,9767.0
3.2,25514.0,13121.0
3.4,31318.0,17837.0
3.6,38133.0,24044.0
3.8,46736.0,32695.0
4.0,57119.0,44088.0
4.2,69917.0,59488.0
4.4,85419.0,80002.0
4.6,104391.0,107672.0
4.8,127629.0,145295.0
5.0,156466.0,196534.0
5.2,191496.0,265790.0
5.4,234491.0,358684.0
5.6,287290.0,484373.0
5.8,352545.0,654662.0
6.0,432156.0,884707.0
6.2,530098.0,1195106.0
6.4,650368.0,1613587.0
6.6,798692.0,2177855.0
6.8,981403.0,2940330.0
7.0,1206173.0,3969845.0
7.2,1483072.0,5357444.0
7.4,1825661.0,7232440.0
7.6,2248641.0,9762177.0
7.8,2771164.0,13181794.0
8.0,3419689.0,17798854.0
8.2,4223599.0,24030218.0
8.4,5217512.0,32430531.0
8.6,6455436.0,43774694.0
8.8,7996434.0,59084043.0
9.0,9918006.0,79757132.0
9.2,12320549.0,107655407.0
9.4,15326154.0,145334759.0
9.6,19093689.0,196166327.0
9.8,23824619.0,264806152.0
10.0,29772806.0,357439965.0
