time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1224.0,144.0
0.4,1490.0,202.0
0.6,1848.0,279.0
0.8,2258.0,383.0
1.0,2762.0,537.0
1.2,3386.0,745.0
1.4,4102.0,1005.0
1.6,5082.0,1350.0
1.8,6233.0,1866.0
2.0,7629.0,2501.0
2.2,9327.0,3412.0
2.4,11355.0,4597.0
2.6,13807.0,6246.0
2.8,16857.0,8415.0
3.0,20628.0,11327.0
3.2,25171.0,15371.0
3.4,30680.0,20691.0
3.6,37531.0,28024.0
3.8,45943.0,37891.0
4.0,56305.0,51189.0
4.2,68723.0,69108.0
4.4,83959.0,93324.0
4.6,102576.0,125749.0
4.8,125821.0,169199.0
5.0,153940.0,228240.0
5.2,188669.0,307861.0
5.4,231456.0,415264.0
5.6,283568.0,561200.0
5.8,347480.0,758943.0
6.0,427182.0,1023667.0
6.2,523809.0,1381616.0
6.4,642425.0,1865192.0
6.6,789111.0,2518591.0
6.8,969694.0,3400829.0
7.0,1193503.0,4592743.0
7.2,1470231.0,6198424.0
7.4,1811790.0,8368140.0
7.6,2234596.0,11295946.0
7.8,2758370.0,15251309.0
8.0,3408268.0,20589756.0
8.2,4214741.0,27790730.0
8.4,5219277.0,37516280.0
8.6,6473294.0,50644223.0
8.8,8037284.0,68362533.0
9.0,9992829.0,92280780.0
9.2,12442602.0,124580026.0
9.4,15517683.0,168166094.0
9.6,19382994.0,226999886.0
9.8,24256008.0,306420862.0
10.0,30418297.0,413634375.0
