time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1357.0,120.0
0.4,1839.0,147.0
0.6,2511.0,179.0
0.8,3396.0,219.0
1.0,4561.0,276.0
1.2,6163.0,321.0
1.4,8420.0,404.0
1.6,11300.0,480.0
1.8,15183.0,591.0
2.0,20500.0,736.0
2.2,27839.0,923.0
2.4,37535.0,1122.0
2.6,50759.0,1407.0
2.8,68709.0,1805.0
3.0,92996.0,2303.0
3.2,125400.0,2914.0
3.4,169268.0,3721.0
3.6,228333.0,4766.0
3.8,307665.0,6007.0
4.0,415569.0,7678.0
4.2,560800.0,9930.0
4.4,757493.0,12888.0
4.6,1022803.0,16727.0
4.8,1379439.0,21764.0
5.0,1863073.0,28326.0
5.2,2513837.0,37017.0
5.4,3391733.0,48524.0
5.6,4576337.0,63399.0
5.8,6179400.0,83307.0
6.0,8337998.0,109789.0
6.2,11254960.0,145014.0
6.4,15192224.0,191941.0
6.6,20505439.0,253968.0
6.8,27683860.0,336472.0
7.0,37367905.0,447126.0
7.2,50436930.0,593582.0
7.4,68071318.0,789527.0
7.6,91885484.0,1052155.0
7.8,124025009.0,1402404.0
8.0,167403212.0,1870355.0
8.2,225962661.0,2499504.0
8.4,305025101.0,3344940.0
8.6,411734177.0,4478515.0
8.8,555788248.0,5999602.0
9.0,750242108.0,8042052.0
9.2,1012731921.0,10786385.0
9.4,1367025832.0,14477520.0
9.6,1845311341.0,19439132.0
9.8,2490921211.0,26116652.0
10.0,3362386059.0,35101408.0
