time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1316.0,127.0
0.4,1792.0,146.0
0.6,2378.0,189.0
0.8,3294.0,239.0
1.0,4432.0,305.0
1.2,6071.0,358.0
1.4,8095.0,443.0
1.6,11020.0,542.0
1.8,14901.0,692.0
2.0,20134.0,869.0
2.2,27057.0,1093.0
2.4,36456.0,1357.0
2.6,49210.0,1698.0
2.8,66474.0,2130.0
3.0,89736.0,2748.0
3.2,120653.0,3447.0
3.4,162660.0,4381.0
3.6,219189.0,5534.0
3.8,295631.0,7089.0
4.0,399365.0,8971.0
4.2,539497.0,11389.0
4.4,727692.0,14613.0
4.6,981597.0,18674.0
4.8,1325272.0,24222.0
5.0,1788098.0,31179.0
5.2,2414814.0,40538.0
5.4,3259523.0,52528.0
5.6,4402669.0,68449.0
5.8,5942642.0,89420.0
6.0,8024320.0,117228.0
6.2,10831467.0,153410.0
6.4,14620322.0,201613.0
6.6,19738442.0,264949.0
6.8,26648316.0,348725.0
7.0,35979425.0,459960.0
7.2,48566334.0,608256.0
7.4,65557058.0,805987.0
7.6,88487601.0,1068438.0
7.8,119433654.0,1417445.0
8.0,161217162.0,1884684.0
8.2,217616820.0,2510862.0
8.4,293749582.0,3344939.0
8.6,396531688.0,4464578.0
8.8,535272091.0,5961944.0
9.0,722529036.0,7968890.0
9.2,975347065.0,10664755.0
9.4,1316619568.0,14282973.0
9.6,1777307277.0,19138234.0
9.8,2399133866.0,25660484.0
10.0,3238465447.0,34426949.0
