,time,z_minus,z_plus
0,0.0,1000.0,100.0
1,0.1,1093.0,118.0
2,0.2,1205.0,141.0
3,0.30000000000000004,1323.0,172.0
4,0.4,1437.0,211.0
5,0.5,1600.0,243.0
6,0.6000000000000001,1767.0,292.0
7,0.7000000000000001,1966.0,338.0
8,0.8,2156.0,389.0
9,0.9,2406.0,458.0
10,1.0,2690.0,519.0
11,1.1,2969.0,607.0
12,1.2000000000000002,3281.0,707.0
13,1.3,3623.0,809.0
14,1.4000000000000001,4027.0,940.0
15,1.5,4406.0,1085.0
16,1.6,4900.0,1284.0
17,1.7000000000000002,5412.0,1518.0
18,1.8,5993.0,1748.0
19,1.9000000000000001,6618.0,2036.0
20,2.0,7261.0,2409.0
21,2.1,8068.0,2801.0
22,2.2,8908.0,3265.0
23,2.3000000000000003,9871.0,3773.0
24,2.4000000000000004,10845.0,4341.0
25,2.5,11973.0,5051.0
26,2.6,13216.0,5903.0
27,2.7,14580.0,6846.0
28,2.8000000000000003,16133.0,7982.0
29,2.9000000000000004,17808.0,9325.0
30,3.0,19684.0,10823.0
31,3.1,21703.0,12558.0
32,3.2,24066.0,14612.0
33,3.3000000000000003,26620.0,16985.0
34,3.4000000000000004,29472.0,19774.0
35,3.5,32608.0,22969.0
36,3.6,36131.0,26841.0
37,3.7,39813.0,31293.0
38,3.8000000000000003,43953.0,36444.0
39,3.9000000000000004,48583.0,42480.0
40,4.0,53633.0,49423.0
41,4.1000000000000005,59276.0,57511.0
42,4.2,65587.0,66895.0
43,4.3,72572.0,77587.0
44,4.4,80203.0,90131.0
45,4.5,88678.0,104947.0
46,4.6000000000000005,98150.0,122082.0
47,4.7,108504.0,141842.0
48,4.800000000000001,120137.0,165113.0
49,4.9,132580.0,192136.0
50,5.0,146394.0,223218.0
51,5.1000000000000005,161568.0,259219.0
52,5.2,178703.0,301172.0
53,5.300000000000001,197606.0,350398.0
54,5.4,218258.0,407453.0
55,5.5,241310.0,473669.0
56,5.6000000000000005,266887.0,550912.0
57,5.7,295082.0,640255.0
58,5.800000000000001,326387.0,744614.0
59,5.9,361201.0,864758.0
60,6.0,399244.0,1004959.0
